LOCCODE,PREK_TYPE,BOROUGH,DISTRICT,NAME,NOTE,PHONE,ADDRESS,ZIP,DAY_LENGTH,AREA_NAME,SEATS,X,Y,EMAIL,WEBSITE,MEALS,INDOOR_OUTDOOR,EXTENDED_DAY,SEMS_CODE,BUTTON_TYPE
K039,DOE,K,15,P.S. 39 Henry Bristow,,7183309310,417 6th Avenue,11215,1,Park Slope-Gowanus,36,988912,182981,kherskowitz@ps39.org,www.ps39.org,7,3,3,15K039,apply
K040,DOE,K,16,P.S. 40 George W. Carver,,7185742353,265 Ralph Avenue,11233,1,Stuyvesant Heights,36,1005811,187197,lantoin@schools.nyc.gov,schools.nyc.gov/schoolportals/16/k040,3,3,3,16K040,apply
K044,DOE,K,13,P.S. 44 Marcus Garvey,,7188346939,432 Monroe Street,11221,1,Stuyvesant Heights,36,1000683,189426,rjames6@schools.nyc.gov,schools.nyc.gov/schoolportals/13/k044,2,3,1,13K044,apply
K045,DOE,K,32,P.S./I.S. 45 Horace E. Greene,,7186425360,84 Schaefer Street,11207,1,Bushwick South,54,1009018,189489,tlott-davis@schools.nyc.gov,schools.nyc.gov/schoolportals/32/k045,2,3,2,32K045,apply
K046,DOE,K,13,P.S. 46 Edward C. Blum,,7188347694,100 Clermont Avenue,11205,1,Fort Greene,54,992246,192351,knicholson@schools.nyc.gov,schools.nyc.gov/schoolportals/13/k046,2,3,3,13K046,apply
K048,DOE,K,20,P.S. 48 Mapleton,,7182323873,6015 18th Avenue,11204,1,Borough Park,18,987749,165841,jmagenta@schools.nyc.gov,schools.nyc.gov/schoolportals/20/k048,5,9,2,20K048,apply
K052,DOE,K,22,P.S. 52 Sheepshead Bay,,7186480882,2675 East 29th Street,11235,1,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,72,1000767,153477,ralvare4@schools.nyc.gov,schools.nyc.gov/schoolportals/22/k052,3,3,3,22K052,apply
K054,DOE,K,13,P.S. 54 Samuel C. Barnes,,7188346752,195 Sandford Street,11205,1,Bedford,54,997274,191765,apirro2@schools.nyc.gov,schools.nyc.gov/schoolportals/13/k054,2,3,2,13K054,apply
K056,DOE,K,13,P.S. 56 Lewis H. Latimer,,7188573149,170 Gates Avenue,11238,1,Clinton Hill,18,995161,188861,dclarkj@schools.nyc.gov,schools.nyc.gov/schoolportals/13/k056,3,3,3,13K056,apply
K058,DOE,K,15,P.S. 58 The Carroll,,7183309322,330 Smith Street,11231,1,Carroll Gardens-Columbia Street-Red Hook,54,985654,187073,kdellostritto2@schools.nyc.gov,schools.nyc.gov/schoolportals/15/k058,2,3,3,15K058,apply
K059,DOE,K,14,P.S. 59 William Floyd,,7184433600,211 Throop Avenue,11206,1,Stuyvesant Heights,36,999871,193150,dbest2@schools.nyc.gov,schools.nyc.gov/schoolportals/14/k059,3,3,3,14K059,apply
K066,DOE,K,18,P.S. 66,,7189223505,845 East 96th Street,11236,1,Canarsie,18,1009842,175676,ljackso17@schools.nyc.gov,schools.nyc.gov/schoolportals/18/k066,3,3,3,18K066,apply
K067,DOE,K,13,P.S. 67 Charles A. Dorsey,,7188346756,51 Saint Edwards Street,11205,1,Fort Greene,18,990291,192715,kjackso5@schools.nyc.gov,schools.nyc.gov/schoolportals/13/k067,3,3,3,13K067,apply
K075,DOE,K,32,P.S. 75 Mayda Cortiella,,7185740244,95 Grove Street,11221,1,Bushwick South,54,1006250,191879,ywillia@schools.nyc.gov,schools.nyc.gov/schoolportals/32/k075,2,1,1,32K075,apply
K081,DOE,K,16,P.S. 81 Thaddeus Stevens,,7185742365,990 Dekalb Avenue,11221,1,Stuyvesant Heights,36,1002063,191820,caultbarker@schools.nyc.gov,schools.nyc.gov/schoolportals/16/k081,3,3,2,16K081,apply
K084,DOE,K,14,P.S. 84 Jose De Diego,,7183848063,250 Berry Street,11211,1,North Side-South Side,72,994507,199694,lminieralvarez@schools.nyc.gov,schools.nyc.gov/schoolportals/14/k084,2,3,1,14K084,apply
K089,DOE,K,19,P.S. 89 Cypress Hills,<p><strong> Dual Language</strong>: Spanish</p>,7189641180,265 Warwick Street,11207,1,East New York,18,1015611,186200,ileon@schools.nyc.gov,schools.nyc.gov/schoolportals/19/k089,2,7,3,19K089,apply
K090,DOE,K,21,P.S. 90 Edna Cohen School,,7187873333,2840 West 12th Street,11224,1,West Brighton,90,989909,149951,ghawkins@schools.nyc.gov,schools.nyc.gov/schoolportals/21/k090,3,3,2,21K090,apply
K091,DOE,K,17,P.S. 91 The Albany Avenue School,,7187560243,532 Albany Avenue,11203,1,Prospect Lefferts Gardens-Wingate,72,1000913,180425,talleyn2@schools.nyc.gov,schools.nyc.gov/schoolportals/17/k091,2,3,3,17K091,apply
K092,DOE,K,17,P.S. 92 Adrian Hegeman,,7184622087,601 Parkside Avenue,11226,1,Prospect Lefferts Gardens-Wingate,54,997085,178295,jsamers@schools.nyc.gov,schools.nyc.gov/schoolportals/17/k092,2,3,1,17K092,apply
K093,DOE,K,13,P.S. 93 William H. Prescott,,7186047363,31 New York Avenue,11216,1,Crown Heights North,36,998995,186694,sphilip@schools.nyc.gov,schools.nyc.gov/schoolportals/13/k093,2,3,3,13K093,apply
K095,DOE,K,21,P.S. 95 The Gravesend,,7184495050,345 Van Sicklen Street,11223,1,Gravesend,18,991143,156306,jndzibah@schools.nyc.gov,schools.nyc.gov/schoolportals/21/k095,2,3,1,21K095,apply
K097,DOE,K,21,P.S. 97 The Highlawn,,7186277550,1855 Stillwell Avenue,11223,1,Bensonhurst East,54,988099,158395,icabello@schools.nyc.gov,schools.nyc.gov/schoolportals/21/k097,3,3,3,21K097,apply
K099,DOE,K,21,P.S. 99 Isaac Asimov,,7183389201,1120 East 10th Street,11230,1,Ocean Parkway South,36,993801,165731,gpirrag@schools.nyc.gov,schools.nyc.gov/schoolportals/21/k099,2,1,2,21K099,apply
K100,DOE,K,21,P.S. 100 The Coney Island School,,7182669477,2951 West 3rd Street,11224,1,West Brighton,36,992219,149611,kmolone@schools.nyc.gov,schools.nyc.gov/schoolportals/21/k100,2,3,3,21K100,apply
K106,DOE,K,32,P.S. 106 Edward Everett Hale,,7185740261,1328 Putnam Avenue,11221,1,Bushwick North,36,1008400,192141,rflores@schools.nyc.gov,schools.nyc.gov/schoolportals/32/k106,2,3,2,32K106,apply
K108,DOE,K,19,P.S. 108 Sal Abbracciamento,<p><strong> Dual Language</strong>: Spanish</p>,7182777010,200 Linwood Street,11208,1,Cypress Hills-City Line,108,1016406,187502,chahn3@schools.nyc.gov,schools.nyc.gov/schoolportals/19/k108,2,3,2,19K108,apply
K109,DOE,K,22,P.S. 109,,7186933426,1001 East 45th Street,11203,1,East Flatbush-Farragut,54,1002684,171161,dchase2@schools.nyc.gov,schools.nyc.gov/schoolportals/22/k109,2,3,2,22K109,apply
K110,DOE,K,14,P.S. 110 The Monitor,,7183837600,124 Monitor Street,11222,1,Greenpoint,90,1000240,203017,tatson@schools.nyc.gov,www.ps110k.org,2,3,2,14K110,apply
K112,DOE,K,20,P.S. 112 Lefferts Park,<p><strong> Dual Language</strong>: Italian</p>,7182320685,7115 15th Avenue,11228,1,Bensonhurst West,18,984030,165079,lverdem@schools.nyc.gov,schools.nyc.gov/schoolportals/20/k112,5,9,3,20K112,apply
K114,DOE,K,18,P.S. 114 Ryder Elementary,,7182574428,1077 Remsen Avenue,11236,1,Canarsie,54,1009558,173476,dsmith6@schools.nyc.gov,schools.nyc.gov/schoolportals/18/k114,3,3,3,18K114,apply
K115,DOE,K,18,P.S. 115 Daniel Mucatel School,,7182411000,1500 East 92nd Street,11236,1,Canarsie,108,1012765,170646,lborgese@schools.nyc.gov,schools.nyc.gov/schoolportals/18/k115,2,3,1,18K115,apply
K118,DOE,K,15,The Maurice Sendak Community School,,7188405660,211 8th Street,11215,1,Park Slope-Gowanus,72,987638,183654,mauricesendakcommunityschool@gmail.com,schools.nyc.gov/schoolportals/15/k118,3,3,2,15K118,apply
K119,DOE,K,22,P.S. 119 Amersfort,,7183777696,3829 Avenue K,11210,1,Flatlands,36,1001387,167228,lfernan5@schools.nyc.gov,schools.nyc.gov/schoolportals/22/k119,3,3,3,22K119,apply
K120,DOE,K,14,P.S. 120 Carlos Tapia,,7184551000,18 Beaver Street,11206,1,Bushwick South,72,1001196,194643,lcaraba@schools.nyc.gov,schools.nyc.gov/schoolportals/14/k120,3,3,1,14K120,apply
K121,DOE,K,21,P.S. 121 Nelson A. Rockefeller,,7183778845,5301 20th Avenue,11204,1,Borough Park,18,990129,166352,amungio@schools.nyc.gov,schools.nyc.gov/schoolportals/21/k121,2,3,1,21K121,apply
K123,DOE,K,32,P.S. 123 Suydam,<p><strong> Dual Language</strong>: Spanish</p>,7188214810,100 Irving Avenue,11237,1,Bushwick North,36,1005682,195687,aparach@schools.nyc.gov,schools.nyc.gov/schoolportals/32/k123,2,1,3,32K123,apply
K124,DOE,K,15,P.S. 124 Silas B. Dutcher,,7187880246,515 4th Avenue,11215,1,Park Slope-Gowanus,36,986734,182481,aburrell2@schools.nyc.gov,schools.nyc.gov/schoolportals/15/k124,2,3,3,15K124,apply
K129,Charter,K,15,Success Academy Charter School - Cobble Hill,,9172076778,284 Baltic Street,11201,1,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,18,986094,188993,michele.listokin@successacademies.org,www.successacademies.org,5,9,3,84K129,Info
K130,DOE,K,15,P.S. 130 The Parkside,,7186861940,70 Ocean Parkway,11218,1,Windsor Terrace,72,991019,175683,mnunzia@schools.nyc.gov,www.ps130brooklyn.com,2,7,2,15K130,apply
K131,DOE,K,15,P.S. 131 Brooklyn,,7184311960,4305 Fort Hamilton Parkway,11219,1,Borough Park,36,986059,172867,rquiles2@schools.nyc.gov,schools.nyc.gov/schoolportals/15/k131,2,3,2,15K131,apply
K132,DOE,K,14,P.S. 132 The Conselyea School,,7185997301,320 Manhattan Avenue,11211,1,East Williamsburg,72,999190,199651,blubeck@schools.nyc.gov,www.ps132andyou.net,2,3,3,14K132,apply
K133,DOE,K,13,P.S. 133 William A. Butler,"<p><strong> Dual Language</strong>: Spanish</p>Note: Students in District 15 are prioritized for two-thirds of seats and students in District 13 are prioritized for the remaining third. Within each district group, students who qualify for Free and Reduced Lunch and/or are English Language Learners will have priority for 35% of those seats.",7183985320,610 Baltic Street,11217,1,Park Slope-Gowanus,80,989661,187175,adickerson@schools.nyc.gov,www.ps133brooklyn.org,2,3,3,13K133,apply
K135,DOE,K,18,P.S. 135 Sheldon A. Brookner,,7186934363,684 Linden Boulevard,11203,1,East Flatbush-Farragut,36,1002809,177422,tmcrae2@schools.nyc.gov,schools.nyc.gov/schoolportals/18/k135,2,7,3,18K135,apply
K137,DOE,K,23,P.S./I.S. 137 Rachel Jean Mitchell,,7184532926,121 Saratoga Avenue,11233,1,Ocean Hill,18,1007234,188006,srose8@schools.nyc.gov,schools.nyc.gov/schoolportals/23/k137,3,3,3,23K137,apply
K138,DOE,K,17,P.S. 138 Brooklyn,,7184670800,760 Prospect Place,11216,1,Crown Heights North,36,997719,184975,mchauve@schools.nyc.gov,schools.nyc.gov/schoolportals/17/k138,2,3,3,17K138,apply
K139,DOE,K,22,P.S. 139 Alexine A. Fenty,<p><strong> Dual Language</strong>: Spanish</p>,7182825254,330 Rugby Road,11226,1,Flatbush,54,993818,173153,mmcdona10@schools.nyc.gov,schools.nyc.gov/schoolportals/22/k139,2,7,3,22K139,apply
K145,DOE,K,32,P.S. 145 Andrew Jackson,<p><strong> Dual Language</strong>: Spanish</p>,7188214823,100 Noll Street,11206,1,Bushwick South,72,1002993,194898,lmalloy@schools.nyc.gov,schools.nyc.gov/schoolportals/32/k145,2,7,2,32K145,apply
K146,DOE,K,15,Brooklyn New School,Note: Students who qualify for Free and Reduced Lunch have priority after siblings.,7189234750,610 Henry Street,11231,1,Carroll Gardens-Columbia Street-Red Hook,36,983868,187044,aallanb@schools.nyc.gov,www.bns146.org,3,3,2,15K146,apply
K147,DOE,K,14,P.S. 147 Isaac Remsen,,7184970326,325 Bushwick Avenue,11206,1,Bushwick South,72,1001050,196207,snoyola@schools.nyc.gov,www.ps147brooklyn.org,3,3,2,14K147,apply
K149,DOE,K,19,P.S. 149 Danny Kaye,,7183858666,700 Sutter Avenue,11207,1,East New York (Pennsylvania Ave),90,1013982,183291,dyoung2@schools.nyc.gov,schools.nyc.gov/schoolportals/19/k149,3,3,1,19K149,apply
K151,DOE,K,32,P.S. 151 Lyndon B. Johnson,,7183266360,763 Knickerbocker Avenue,11207,1,Bushwick North,36,1009585,191875,jhunt2@schools.nyc.gov,schools.nyc.gov/schoolportals/32/k151,2,3,2,32K151,apply
K152,DOE,K,22,School of Science & Technology,,7184345222,725 East 23rd Street,11210,1,Flatbush,18,996817,169739,csheldr@schools.nyc.gov,schools.nyc.gov/schoolportals/22/k152,2,7,2,22K152,apply
K153,DOE,K,21,P.S. 153 Homecrest,,7183754484,1970 Homecrest Avenue,11229,1,Homecrest,72,995419,158464,csanta@schools.nyc.gov,schools.nyc.gov/schoolportals/21/k153,2,3,3,21K153,apply
K155,DOE,K,23,P.S./I.S. 155 Nicholas Herkimer,,7182404340,1355 Herkimer Street,11233,1,Ocean Hill,36,1009565,186090,ncortes3@schools.nyc.gov,schools.nyc.gov/schoolportals/23/k155,3,7,3,23K155,apply
K156,DOE,K,23,P.S. 156 Waverly,,7184982811,104 Sutter Avenue,11212,1,Brownsville,36,1006969,181916,23k156@schools.nyc.gov,www.156k.org,2,3,3,23K156,apply
K157,DOE,K,14,P.S./I.S. 157 The Benjamin Franklin Health & Science Academy,,7186229285,850 Kent Avenue,11205,1,Bedford,36,995461,192638,ps157@outlook.com,schools.nyc.gov/schoolportals/14/k157,3,3,3,14K157,apply
K158,DOE,K,19,P.S. 158 Warwick,,7182776116,400 Ashford Street,11207,1,East New York,72,1016205,184336,awilson3@schools.nyc.gov,schools.nyc.gov/schoolportals/19/k158,3,3,3,19K158,apply
K161,DOE,K,17,P.S. 161 The Crown,,7187563100,330 Crown Street,11225,1,Crown Heights South,36,998395,181988,mjohnso10@schools.nyc.gov,schools.nyc.gov/schoolportals/17/k161,2,3,3,17K161,apply
K164,DOE,K,20,P.S. 164 Caesar Rodney,,7188544100,4211 14th Avenue,11219,1,Borough Park,54,988148,171530,esteinberg@schools.nyc.gov,schools.nyc.gov/schoolportals/20/k164,3,7,2,20K164,apply
K165,DOE,K,23,P.S. 165 Ida Posner,,7184957759,76 Lott Avenue,11212,1,Brownsville,36,1008929,178812,abonds@schools.nyc.gov,schools.nyc.gov/schoolportals/23/k165,2,3,3,23K165,apply
K172,DOE,K,15,P.S. 172 Beacon School Of Excellence,,7189654200,825 4th Avenue,11232,1,Sunset Park West,36,984069,178972,jspatol@schools.nyc.gov,schools.nyc.gov/schoolportals/15/k172,2,3,2,15K172,apply
K177,DOE,K,21,P.S. 177 The Marlboro,,7183759506,346 Avenue P,11204,1,Bensonhurst East,36,991234,161008,alettieribaker2@schools.nyc.gov,schools.nyc.gov/schoolportals/21/k177,2,3,1,21K177,apply
K178,DOE,K,23,P.S. 178 Saint Clair Mckelway,,7184957768,2163 Dean Street,11233,1,Ocean Hill,36,1007612,185216,jhenry1@schools.nyc.gov,schools.nyc.gov/schoolportals/23/k178,3,3,3,23K178,apply
K179,DOE,K,20,P.S. 179 Kensington,,7184384010,202 Avenue C,11218,1,Kensington-Ocean Parkway,54,990455,172615,bamato@schools.nyc.gov,www.ps179kensington.com,5,9,1,20K179,apply
K180,DOE,K,20,The SEEALL Academy,,7188518070,5601 16th Avenue,11204,1,Borough Park,54,987117,167720,20k180@schools.nyc.gov,www.seeallacademy.com,2,3,2,20K180,apply
K181,DOE,K,17,P.S. 181 Brooklyn,,7184625298,1023 New York Avenue,11203,1,East Flatbush-Farragut,36,999131,175443,vesannason@schools.nyc.gov,schools.nyc.gov/schoolportals/17/k181,3,3,2,17K181,apply
K182,Charter,K,14,Success Academy Charter School - Williamsburg,,9172076778,183 South 3rd Street,11211,1,North Side-South Side,18,995263,198572,michele.listokin@successacademies.org,www.successacademies.org,5,9,3,84K182,Info
K184,DOE,K,23,P.S. 184 Newport,,7184957775,273 Newport Street,11212,1,Brownsville,54,1010635,179734,llinder@schools.nyc.gov,schools.nyc.gov/schoolportals/23/k184,2,3,3,23K184,apply
K186,DOE,K,20,P.S. 186 Dr. Irving A Gladstone,,7182367071,7601 19th Avenue,11214,1,Bensonhurst West,18,985728,162056,bcadotte@schools.nyc.gov,www.ps186.com,5,9,2,20K186,apply
K188,DOE,K,21,P.S. 188 Michael E. Berdy,,7182657580,3314 Neptune Avenue,11224,1,Seagate-Coney Island,36,984196,149572,ftudda@schools.nyc.gov,schools.nyc.gov/schoolportals/21/k188,3,3,3,21K188,apply
K190,DOE,K,19,P.S. 190 Sheffield,,7183468780,590 Sheffield Avenue,11207,1,East New York (Pennsylvania Ave),18,1013536,180597,shill3@schools.nyc.gov,schools.nyc.gov/schoolportals/19/k190,2,3,3,19K190,apply
K191,DOE,K,17,P.S. 191 Paul Robeson,,7187561206,1600 Park Place,11233,1,Crown Heights North,18,1005241,184115,ecapolo@schools.nyc.gov,schools.nyc.gov/schoolportals/17/k191,2,3,2,17K191,apply
K192,DOE,K,20,P.S. 192 - The Magnet School for Math and Science Inquiry,,7186333061,4715 18th Avenue,11204,1,Borough Park,54,989803,168549,lisaac@schools.nyc.gov,www.ps-is192.org,3,3,2,20K192,apply
K193,DOE,K,22,P.S. 193 Gil Hodges,,7183389011,2515 Avenue L,11210,1,Midwood,18,997999,165712,tbackof@schools.nyc.gov,gilhodgesschool.wix.com/ps193,3,3,2,22K193,apply
K194,DOE,K,22,P.S. 194 Raoul Wallenberg,,7186488804,3117 Avenue W,11229,1,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,36,1002718,156698,mzissle@schools.nyc.gov,schools.nyc.gov/schoolportals/22/k194,2,3,3,22K194,apply
K195,DOE,K,22,P.S. 195 Manhattan Beach,,7186489102,131 Irwin Street,11235,1,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,18,999856,150391,btoomey@schools.nyc.gov,schools.nyc.gov/schoolportals/22/k195,2,1,2,22K195,apply
K196,DOE,K,14,P.S. 196 Ten Eyck,,7184970139,207 Bushwick Avenue,11206,1,Bushwick South,36,1000884,197489,jcolon@schools.nyc.gov,www.ps196.org,3,3,3,14K196,apply
K197,DOE,K,22,P.S. 197 - The Kings Highway Academy,,7183777890,1599 East 22nd Street,11210,1,Midwood,72,997603,162475,rnicole@schools.nyc.gov,schools.nyc.gov/schoolportals/22/k197,2,3,2,22K197,apply
K198,DOE,K,22,P.S. 198 Brooklyn,,7182824920,4105 Farragut Road,11210,1,East Flatbush-Farragut,36,1001641,171337,jmorgan2@schools.nyc.gov,schools.nyc.gov/schoolportals/22/k198,2,3,3,22K198,apply
K199,DOE,K,21,P.S. 199 Frederick Wachtel,,7183391422,1100 Elm Avenue,11230,1,Midwood,36,994390,163934,21k199@schools.nyc.gov,schools.nyc.gov/schoolportals/21/k199,2,3,2,21K199,apply
K200,DOE,K,20,P.S. 200 Benson School,,7182365466,1940 Benson Avenue,11214,1,Bath Beach,36,983859,159034,amancin@schools.nyc.gov,schools.nyc.gov/schoolportals/20/k200,2,1,3,20K200,apply
K202,DOE,K,19,P.S. 202 Ernest S. Jenkyns,,7186497880,982 Hegeman Avenue,11208,1,East New York,36,1018494,182094,mspence6@schools.nyc.gov,schools.nyc.gov/schoolportals/19/k202,2,3,3,19K202,apply
K203,DOE,K,22,P.S. 203 Floyd Bennett School,,7182418488,5101 Avenue M,11234,1,Flatlands,108,1004796,165691,ydoming@schools.nyc.gov,schools.nyc.gov/schoolportals/22/k203,2,3,3,22K203,apply
K204,DOE,K,20,P.S. 204 Vince Lombardi,,7182362906,8101 15th Avenue,11228,1,Bensonhurst West,36,982407,163031,ntomasu@schools.nyc.gov,schools.nyc.gov/schoolportals/20/k204,5,9,2,20K204,apply
K205,DOE,K,20,P.S. 205 Clarion,,7182362380,6701 20th Avenue,11204,1,Bensonhurst West,54,987818,163436,bgrater@schools.nyc.gov,schools.nyc.gov/schoolportals/20/k205,2,3,2,20K205,apply
K206,DOE,K,22,P.S. 206 Joseph F Lamb,,7187435598,2200 Gravesend Neck Road,11229,1,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,36,998428,156918,equigle@schools.nyc.gov,schools.nyc.gov/schoolportals/22/k206,2,3,2,22K206,apply
K207,DOE,K,22,P.S. 207 Elizabeth G. Leary,,7186458667,4011 Fillmore Avenue,11234,1,Georgetown-Marine Park-Bergen Beach-Mill Basin,18,1003649,162745,mbosco@schools.nyc.gov,schools.nyc.gov/schoolportals/22/k207,2,3,1,22K207,apply
K208,DOE,K,18,P.S. 208 Elsa Ebeling,,7186291670,4801 Avenue D,11203,1,East Flatbush-Farragut,36,1003357,173193,nrenville@schools.nyc.gov,schools.nyc.gov/schoolportals/18/k208,2,3,2,18K208,apply
K209,DOE,K,21,P.S. 209 Margaret Mead,,7187431954,2609 East 7th Street,11235,1,Brighton Beach,36,994810,153082,flocurc@schools.nyc.gov,schools.nyc.gov/schoolportals/21/k209,2,3,3,21K209,apply
K212,DOE,K,21,P.S. 212 Lady Deborah Moody,,7182664841,87 Bay 49th Street,11214,1,Gravesend,54,988153,153361,rhorne@schools.nyc.gov,schools.nyc.gov/schoolportals/21/k212,2,3,3,21K212,apply
K213,DOE,K,19,P.S. 213 New Lots,,7182574034,580 Hegeman Avenue,11207,1,East New York,36,1014689,179937,smoise2@schools.nyc.gov,schools.nyc.gov/schoolportals/19/k213,3,3,3,19K213,apply
K214,DOE,K,19,P.S. 214 Michael Friedsam,,7186471740,2944 Pitkin Avenue,11208,1,Cypress Hills-City Line,108,1022209,185778,smahabi@schools.nyc.gov,schools.nyc.gov/schoolportals/19/k214,3,3,3,19K214,apply
