LOCCODE,PREK_TYPE,BOROUGH,DISTRICT,NAME,NOTE,PHONE,ADDRESS,ZIP,DAY_LENGTH,AREA_NAME,SEATS,X,Y,EMAIL,WEBSITE,MEALS,INDOOR_OUTDOOR,EXTENDED_DAY,SEMS_CODE
K021,DOE,K,16,P.S. 021 Crispus Attucks,,(718) 493-9681,180 CHAUNCEY STREET,11233,1,Crown Heights North,54,1004755,187212,lfrazie@schools.nyc.gov,schools.nyc.gov/schoolportals/16/K021,2,3,3,16K021
K023,DOE,K,14,P.S. 023 Carter G. Woodson,,(718) 387-0375,545 WILLOUGHBY AVENUE,11206,1,Bedford,36,998775,192219,cnapoli@schools.nyc.gov,schools.nyc.gov/schoolportals/14/K023,2,3,3,14K023
K024,DOE,K,15,P.S. 024,,(718) 832-9366,427 38 STREET,11232,1,Sunset Park West,18,982972,177112,rdubits@schools.nyc.gov,schools.nyc.gov/schoolportals/15/K024,3,3,3,15K024
K025,DOE,K,16,P.S. 025 Eubie Blake School,,(718) 574-2336,787 LAFAYETTE AVENUE,11221,1,Stuyvesant Heights,36,1000753,191155,acoley2@schools.nyc.gov,schools.nyc.gov/schoolportals/16/K025,3,3,3,16K025
K026,DOE,K,16,P.S. 026 Jesse Owens,,(718) 919-5707,1014 LAFAYETTE AVENUE,11221,1,Stuyvesant Heights,18,1003289,191351,ccelest@schools.nyc.gov,schools.nyc.gov/schoolportals/16/K026,2,3,3,16K026
K028,DOE,K,16,P.S. 028 The Warren Prep Academy,,(718) 467-2865,1001 HERKIMER STREET,11233,1,Ocean Hill,18,1006403,186449,ssilver11@schools.nyc.gov; jjames4@schools.nyc.gov,schools.nyc.gov/schoolportals/16/K028,2,3,3,16K028
K029,DOE,K,15,P.S. 029 John M. Harrigan,,(718) 330-9277,425 HENRY STREET,11201,1,Carroll Grdns - Columbia - Red Hook,54,984883,189545,rfagin@schools.nyc.gov,schools.nyc.gov/schoolportals/15/K029,3,3,3,15K029
K031,DOE,K,14,P.S. 031 Samuel F. Dupont,,(718) 383-8998,75 MESEROLE AVENUE,11222,1,Greenpoint,108,996979,204091,mscarla@schools.nyc.gov,schools.nyc.gov/schoolportals/14/K031,2,1,3,14K031
K032,DOE,K,15,P.S. 032 Samuel Mills Sprole,,(718) 222-6400,317 HOYT STREET,11231,1,Carroll Grdns - Columbia - Red Hook,30,986550,187189,dflorio@schools.nyc.gov,schools.nyc.gov/schoolportals/15/K032,3,7,3,15K032
K034,DOE,K,14,P.S. 034 Oliver H. Perry,,(718) 389-5842,131 NORMAN AVENUE,11222,1,Greenpoint,18,998184,203901,casselt@schools.nyc.gov,PS34.org,2,3,3,14K034
K037,CHARTER,K,14,Beginning With Children Charter School II Pre-Kindergarten ,,(718) 388-8847,11 Bartlett Street,11206,1,Bedford,18,998621,194400,eogbahon@bwccs2.org,bwccschool.org/index.jsp,5,9,3,14K037
K038,DOE,K,15,P.S. 038 The Pacific,,(718) 330-9305,450 PACIFIC STREET,11217,1,Dumbo - Vingr Hl - Dwntn Brkl - Boerm Hl,126,988968,188868,yramire4@schools.nyc.gov,schools.nyc.gov/schoolportals/15/K038,3,3,1,15K038
K039,DOE,K,15,P.S. 039 Henry Bristow,,(718) 330-9310,417 6 AVENUE,11215,1,Park Slope - Gowanus,36,988958,182905,adepaz2@schools.nyc.gov; kherskowitz@schools.nyc.gov,PS39.org,7,3,3,15K039
K040,DOE,K,16,P.S. 040 George W. Carver,,(718) 574-2353,265 RALPH AVENUE,11233,1,Stuyvesant Heights,36,1005913,187134,lhibber@schools.nyc.gov,schools.nyc.gov/schoolportals/16/K040,3,3,3,16K040
K044,DOE,K,13,P.S. 044 Marcus Garvey,,(718) 834-6939,432 MONROE STREET,11221,1,Stuyvesant Heights,36,1000624,189327,rjames6@schools.nyc.gov,schools.nyc.gov/schoolportals/13/K044,2,3,3,13K044
K045,DOE,K,32,P.S. 045 Horace E. Greene,,(718) 642-5360,84 SCHAEFER STREET,11207,1,Bushwick South,54,1009081,189447,tlott-davis@schools.nyc.gov,schools.nyc.gov/schoolportals/32/K045,2,3,3,32K045
K046,DOE,K,13,P.S. 046 Edward C. Blum,,(718) 834-7694,100 CLERMONT AVENUE,11205,1,Fort Greene,54,992161,192247,knicholson@schools.nyc.gov,schools.nyc.gov/schoolportals/13/K046,2,3,3,13K046
K048,DOE,K,20,P.S. 048 Mapleton,,(718) 232-3873,6015 18 AVENUE,11204,1,Borough Park,18,987776,165729,jmagenta@schools.nyc.gov,schools.nyc.gov/schoolportals/20/K048,5,9,3,20K048
K052,DOE,K,22,P.S. 052 Sheepshead Bay,,(718) 648-0882,2675 EAST 29 STREET,11235,1,Sheepshd By -Gerritsen Bch -Manhattn Bch,72,1000858,153397,ralvare4@schools.nyc.gov,schools.nyc.gov/schoolportals/22/K052,3,3,3,22K052
K054,DOE,K,13,P.S. 054 Samuel C. Barnes,,(718) 834-6752,195 SANFORD STREET,11205,1,Bedford,46,997373,191615,lkhan@schools.nyc.gov,schools.nyc.gov/schoolportals/13/K054,2,3,3,13K054
K056,DOE,K,13,P.S. 056 Lewis H. Latimer,,(718) 857-3149,170 GATES AVENUE,11238,1,Clinton Hill,18,995211,188782,dclarkj@schools.nyc.gov,schools.nyc.gov/schoolportals/13/K056,3,3,3,13K056
K058,DOE,K,15,P.S. 058 The Carroll,,(718) 330-9322,330 SMITH STREET,11231,1,Carroll Grdns - Columbia - Red Hook,54,985512,187171,kdellostritto2@schools.nyc.gov,schools.nyc.gov/schoolportals/15/K058,2,3,3,15K058
K059,DOE,K,14,P.S. 059 William Floyd,,(718) 443-3600,211 THROOP AVENUE,11206,1,Stuyvesant Heights,36,999930,193336,dbest2@schools.nyc.gov,schools.nyc.gov/schoolportals/14/K059,3,3,3,14K059
K066,DOE,K,18,P.S. 66,,(718) 922-3505,845 EAST 96 STREET,11236,1,Canarsie,18,1010047,175668,ljackso17@schools.nyc.gov,schools.nyc.gov/schoolportals/18/K066,3,3,3,18K066
K067,DOE,K,13,P.S. 067 Charles A. Dorsey,,(718) 834-6756,51 SAINT EDWARDS STREET,11205,1,Fort Greene,18,990385,192610,gsolomon3@schools.nyc.gov,schools.nyc.gov/schoolportals/13/K067,3,3,3,13K067
K075,DOE,K,32,P.S. 075 Mayda Cortiella,,(718) 574-0244,95 GROVE STREET,11221,1,Bushwick South,54,1006134,191822,ywillia@schools.nyc.gov,schools.nyc.gov/schoolportals/32/K075,2,1,3,32K075
K081,DOE,K,16,P.S. 081 Thaddeus Stevens,,(718) 574-2365,990 DEKALB AVENUE,11221,1,Stuyvesant Heights,36,1002239,191774,CAultBarker@schools.nyc.gov,schools.nyc.gov/schoolportals/16/K081,3,3,1,16K081
K084,DOE,K,14,P.S. 084 Jose De Diego,,(718) 384-8063,250 BERRY STREET,11211,1,North Side - South Side,72,994436,199724,srodrig12@schools.nyc.gov,schools.nyc.gov/schoolportals/14/K084,2,3,3,14K084
K089,DOE,K,19,P.S. 089 Cypress Hills,,(718) 964-1180,265 WARWICK STREET,11207,1,East New York,18,1015669,186210,vrodrig4@schools.nyc.gov,schools.nyc.gov/schoolportals/19/K089,2,7,3,19K089
K090,DOE,K,21,P.S. 90 Edna Cohen School,,(718) 787-3333,2840 WEST 12 STREET,11224,1,West Brighton,90,989819,149880,ghawkins@schools.nyc.gov,schools.nyc.gov/schoolportals/21/K090,3,3,3,21K090
K091,DOE,K,17,P.S. 091 The Albany Avenue School,,(718) 756-0243,532 ALBANY AVENUE,11203,1,Prospect  - Lefferts Grdn - Wingate,72,1000834,180404,talleyn2@schools.nyc.gov,schools.nyc.gov/schoolportals/17/K091,2,3,3,17K091
K092,DOE,K,17,P.S. 092 Adrian Hegeman,,(718) 462-2087,601 PARKSIDE AVENUE,11226,1,Prospect  - Lefferts Grdn - Wingate,54,996990,178353,drahmaa@schools.nyc.gov,schools.nyc.gov/schoolportals/17/K092,2,3,3,17K092
K093,DOE,K,13,P.S. 093 William H. Prescott,,(718) 604-7363,31 NEW YORK AVENUE,11216,1,Crown Heights North,36,999087,186633,sphilip@schools.nyc.gov,schools.nyc.gov/schoolportals/13/K093,2,3,3,13K093
K095,DOE,K,21,P.S. 095 The Gravesend,,(718) 449-5050,345 VAN SICKLEN STREET,11223,1,Gravesend,36,991224,156323,jndzibah@schools.nyc.gov,schools.nyc.gov/schoolportals/21/K095,2,3,3,21K095
K097,DOE,K,21,P.S. 97 The Highlawn,,(718) 372-1800,1855 STILLWELL AVENUE,11223,1,Bensonhurst East,54,988205,158329,icabello@schools.nyc.gov,schools.nyc.gov/schoolportals/21/K097,3,3,3,21K097
K099,DOE,K,21,P.S. 099 Isaac Asimov,,(718) 338-9201,1120 EAST 10 STREET,11230,1,Ocean Parkway South,36,993722,165704,gpirrag@schools.nyc.gov,schools.nyc.gov/schoolportals/21/K099,2,1,3,21K099
K100,DOE,K,21,P.S. 100 The Coney Island School,,(718) 266-9477,2951 WEST 3 STREET,11224,1,West Brighton,36,992317,149702,ctozzi@schools.nyc.gov,schools.nyc.gov/schoolportals/21/K100,2,3,3,21K100
K106,DOE,K,32,P.S. 106 Edward Everett Hale,,(718) 574-0261,1328 PUTNAM AVENUE,11221,1,Bushwick North,36,1008466,192021,rflores@schools.nyc.gov,schools.nyc.gov/schoolportals/32/K106,2,3,3,32K106
K108,DOE,K,19,P.S. 108 Sal Abbracciamento,,(718) 277-7010,200 LINWOOD STREET,11208,1,Cypress Hills - City Line,108,1016343,187503,chahn3@schools.nyc.gov,schools.nyc.gov/schoolportals/19/K108,2,3,3,19K108
K109,DOE,K,22,P.S. 109,,(718) 693-3426,1001 EAST 45 STREET,11203,1,East Flatbush - Farragut,54,1002852,171265,dchase2@schools.nyc.gov,schools.nyc.gov/schoolportals/22/K109,2,3,3,22K109
K110,DOE,K,14,P.S. 110 The Monitor,,(718) 383-7600,124 MONITOR STREET,11222,1,Greenpoint,90,1000314,202930,tatson@schools.nyc.gov,PS110K.org,2,3,3,14K110
K114,DOE,K,18,P.S. 114 Ryder Elementary,,(718) 257-4428,1077 REMSEN AVENUE,11236,1,Canarsie,54,1009741,173411,dsmith6@schools.nyc.gov,schools.nyc.gov/schoolportals/18/K114,3,3,3,18K114
K115,DOE,K,18,P.S. 115 Daniel Mucatel School,,(718) 241-1000,1500 EAST 92 STREET,11236,1,Canarsie,90,1012677,170592,lborgese@schools.nyc.gov,schools.nyc.gov/schoolportals/18/K115,2,3,3,18K115
K118,DOE,K,15,The Maurice Sendak Community School,,(718) 840-5660,211 8TH STREET,11215,1,Park Slope - Gowanus,66,987659,183768,wgarraway@schools.nyc.gov,schools.nyc.gov/schoolportals/15/K118,3,3,3,15K118
K119,DOE,K,22,P.S. 119 Amersfort,,(718) 377-7696,3829 AVENUE K,11210,1,Flatlands,36,1001254,167364,lfernan5@schools.nyc.gov,schools.nyc.gov/schoolportals/22/K119,3,3,3,22K119
K120,DOE,K,14,P.S. 120 Carlos Tapia,,(718) 455-1000,18 BEAVER STREET,11206,1,Bushwick South,90,1001511,194534,lcaraba@schools.nyc.gov,schools.nyc.gov/schoolportals/14/K120,3,3,1,14K120
K121,DOE,K,21,P.S. 121 Nelson A. Rockefeller,,(718) 377-8845,5301 20 AVENUE,11204,1,Borough Park,18,990132,166212,cmagrone@schools.nyc.gov,schools.nyc.gov/schoolportals/21/K121,2,3,3,21K121
K123,DOE,K,32,P.S. 123 Suydam,,(718) 821-4810,100 IRVING AVENUE,11237,1,Bushwick North,36,1005736,195753,aparach@schools.nyc.gov,schools.nyc.gov/schoolportals/32/K123,2,1,3,32K123
K124,DOE,K,15,P.S. 124 Silas B. Dutcher,,(718) 788-0246,515 4 AVENUE,11215,1,Park Slope - Gowanus,36,986830,182462,aburrell2@schools.nyc.gov,schools.nyc.gov/schoolportals/15/K124,2,3,3,15K124
K129,CHARTER,K,15,Success Academy Charter School- Cobble Hill Pre-Kindergarten,,(718) 704-1460,284 Baltic Street,11201,1,Dumbo - Vingr Hl - Dwntn Brkl - Boerm Hl,18,986088,188932,SACH.MainOffice@saschools.org,successacademies.org/schools/cobble-hill/,5,9,3,15K129
K130,DOE,K,15,P.S. 130 The Parkside,,(718) 686-1940,70 OCEAN PARKWAY,11218,1,Windsor Terrace,72,990932,175699,mnunzia@schools.nyc.gov,ps130brooklyn.com,2,7,3,15K130
K131,DOE,K,15,P.S. 131 Brooklyn,,(718) 431-1960,4305 FT HAMILTON PARKWAY,11219,1,Borough Park,36,986096,172731,rquiles2@schools.nyc.gov,schools.nyc.gov/schoolportals/15/K131,2,3,3,15K131
K132,DOE,K,14,P.S. 132 The Conselyea School,,(718) 599-7301,320 MANHATTAN AVENUE,11211,1,East Williamsburg,72,999251,199688,blubeck@schools.nyc.gov,ps132andyou.net,2,3,3,14K132
K133,DOE,K,13,P.S. 133 William A. Butler,,(718) 398-5320,610 BALTIC STREET,11217,1,Park Slope - Gowanus,64,989651,187141,adickerson@schools.nyc.gov,ps133brooklyn.org,2,3,3,13K133
K135,DOE,K,18,P.S. 135 Sheldon A. Brookner,,(718) 693-4363,684 LINDEN BOULEVARD,11203,1,East Flatbush - Farragut,36,1002848,177315,tmcrae2@schools.nyc.gov,schools.nyc.gov/schoolportals/18/K135,2,7,3,18K135
K137,DOE,K,23,P.S./I.S. 137 Rachel Jean Mitchell,,(718) 453-2926,121 SARATOGA AVENUE,11233,1,Ocean Hill,18,1007348,187847,zcooper@schools.nyc.gov,schools.nyc.gov/schoolportals/23/K137,3,3,3,23K137
K138,DOE,K,17,P.S. 138 Brooklyn,,(718) 467-0800,760 PROSPECT PLACE,11216,1,Crown Heights North,72,997749,184891,mchauve@schools.nyc.gov,schools.nyc.gov/schoolportals/17/K138,2,3,3,17K138
K139,DOE,K,22,P.S. 139 Alexine A. Fenty,,(718) 282-5254,330 RUGBY ROAD,11226,1,Flatbush,36,993758,172958,mmcdona10@schools.nyc.gov,schools.nyc.gov/schoolportals/22/K139,2,7,3,22K139
K145,DOE,K,32,P.S. 145 Andrew Jackson,,(718) 821-4823,100 NOLL STREET,11206,1,Bushwick South,90,1003047,194870,LMalloy@schools.nyc.gov,schools.nyc.gov/schoolportals/32/K145,2,7,3,32K145
K146,DOE,K,15,P.S. 146,,(718) 923-4750,610 HENRY STREET,11231,1,Carroll Grdns - Columbia - Red Hook,36,983782,186982,amysumner@bns146.org,bns146.org,3,3,1,15K146
K147,DOE,K,14,P.S. 147 Isaac Remsen,,(718) 497-0326,325 BUSHWICK AVENUE,11206,1,Bushwick South,54,1001203,196190,snoyola@schools.nyc.gov,ps147brooklyn.org/,3,3,3,14K147
K149,DOE,K,19,P.S. 149 Danny Kaye,,(718) 385-8666,700 SUTTER AVENUE,11207,1,East New York (Pennsylvania Ave),90,1013999,183181,yschoff@schools.nyc.gov,schools.nyc.gov/schoolportals/19/K149,3,3,1,19K149
K151,DOE,K,32,P.S. 151 Lyndon B. Johnson,,(718) 326-6360,763 KNICKERBOCKER AVENUE,11207,1,Bushwick North,18,1009676,191905,jhunt@schools.nyc.gov,schools.nyc.gov/schoolportals/32/K151,2,3,3,32K151
K152,DOE,K,22,School of Science & Technology,,(718) 434-5222,725 EAST 23 STREET,11210,1,Flatbush,18,996920,169771,csheldr@schools.nyc.gov,schools.nyc.gov/schoolportals/22/K152,2,7,3,22K152
K153,DOE,K,21,P.S. 153 Homecrest,,(718) 375-4484,1970 HOMECREST AVENUE,11229,1,Homecrest,64,995364,158309,csanta@schools.nyc.gov,schools.nyc.gov/schoolportals/21/K153,2,3,3,21K153
K155,DOE,K,23,P.S./ I.S. 155 Nicholas Herkimer,,(718) 495-7751,1355 HERKIMER STREET,11233,1,Ocean Hill,36,1009570,186160,ncortes3@schools.nyc.gov,schools.nyc.gov/schoolportals/23/K155,3,7,3,23K155
K156,DOE,K,23,P.S. 156 Waverly,,(718) 498-2811,104 SUTTER AVENUE,11212,1,Brownsville,36,1006944,181831,23k156@schools.nyc.gov,156K.org,2,3,3,23K156
K157,DOE,K,14,P.S. 157 Benjamin Franklin,,(718) 622-9285,850 KENT AVENUE,11205,1,Bedford,36,995355,192637,ps157@outlook.com,schools.nyc.gov/schoolportals/14/K157,3,3,3,14K157
K158,DOE,K,19,P.S. 158 Warwick,,(718) 277-6116,400 ASHFORD STREET,11207,1,East New York,72,1016131,184337,awilson3@schools.nyc.gov,schools.nyc.gov/schoolportals/19/K158,3,3,3,19K158
K161,DOE,K,17,P.S. 161 The Crown,,(718) 756-3100,330 CROWN STREET,11225,1,Crown Heights South,18,998338,181915,mjohnso10@schools.nyc.gov,schools.nyc.gov/schoolportals/17/K161,2,3,3,17K161
K164,DOE,K,20,P.S. 164 Caesar Rodney,,(718) 854-4100,4211 14 AVENUE,11219,1,Borough Park,46,988177,171416,esteinberg@schools.nyc.gov,schools.nyc.gov/schoolportals/20/K164,3,7,3,20K164
K165,DOE,K,23,P.S. 165 Ida Posner,,(718) 495-7759,76 LOTT AVENUE,11212,1,Brownsville,36,1008949,178732,fellers@schools.nyc.gov,schools.nyc.gov/schoolportals/23/K165,2,3,3,23K165
K172,DOE,K,15,P.S. 172 Beacon School of Excellence,,(718) 965-4200,825 4 AVENUE,11232,1,Sunset Park West,36,984158,178921,jspatol@schools.nyc.gov,schools.nyc.gov/schoolportals/15/K172,2,3,3,15K172
K177,DOE,K,21,P.S. 177 The Marlboro,,(718) 375-9506,346 AVENUE P,11204,1,Bensonhurst East,36,991336,160937,scaleca@schools.nyc.gov,schools.nyc.gov/schoolportals/21/K177,2,3,3,21K177
K178,DOE,K,23,P.S. 178 Saint Clair Mckelway,,(718) 495-7768,2163 DEAN STREET,11233,1,Ocean Hill,36,1007728,185292,jhenry1@schools.nyc.gov,schools.nyc.gov/schoolportals/23/K178,3,3,3,23K178
K179,DOE,K,20,P.S. 179 Kensington,,(718) 438-4010,202 AVENUE C,11218,1,Kensington - Ocean Parkway,54,990551,172548,bamato@schools.nyc.gov,ps179kensington.com,5,9,3,20K179
K180,DOE,K,20,The SEEALL Academy,,(718) 851-8070,5601 16 AVENUE,11204,1,Borough Park,38,987136,167594,20k180@schools.nyc.gov,seeallacademy.com,2,3,3,20K180
K181,DOE,K,17,P.S. 181 Brooklyn,,(718) 462-5298,1023 NEW YORK AVENUE,11203,1,East Flatbush - Farragut,28,999237,175436,kgrady@schools.nyc.gov,schools.nyc.gov/schoolportals/17/K181,3,3,3,17K181
K182,CHARTER,K,14,Success Academy Charter School - Williamsburg Pre-Kindergarten,,(718) 704-1419,183 South 3rd Street,11211,1,North Side - South Side,18,995368,198597,SAWB.MainOffice@saschools.org,successacademies.org/schools/williamsburg/,5,9,3,14K182
K184,DOE,K,23,P.S. 184 Newport,,(718) 495-7775,273 NEWPORT STREET,11212,1,Brownsville,72,1010622,179822,llinder@schools.nyc.gov,schools.nyc.gov/schoolportals/23/K184,2,3,3,23K184
K186,DOE,K,20,P.S. 186 Dr. Irving A Gladstone,,(718) 236-7071,7601 19 AVENUE,11214,1,Bensonhurst West,18,985747,161927,bcadotte@schools.nyc.gov,ps186.com,5,9,3,20K186
K188,DOE,K,21,P.S. 188 Michael E. Berdy,,(718) 265-7580,3314 NEPTUNE AVENUE,11224,1,Seagate - Coney Island,36,984106,149472,agreen31@schools.nyc.gov,schools.nyc.gov/schoolportals/21/K188,3,3,3,21K188
K190,DOE,K,19,P.S. 190 Sheffield,,(718) 346-8780,590 SHEFFIELD AVENUE,11207,1,East New York (Pennsylvania Ave),18,1013461,180625,ssantiago11@schools.nyc.gov,schools.nyc.gov/schoolportals/19/K190,2,3,3,19K190
K191,DOE,K,17,P.S. 191 Paul Robeson,,(718) 756-1206,1600 PARK PLACE,11233,1,Crown Heights North,18,1005274,184040,ecapolo@schools.nyc.gov,schools.nyc.gov/schoolportals/17/K191,2,3,3,17K191
K192,DOE,K,20,P.S. 192 - The Magnet School for Math and Science Inquiry,,(718) 633-3061,4715 18 AVENUE,11204,1,Borough Park,46,989832,168445,lisaac@schools.nyc.gov,ps-is192.org/,3,3,3,20K192
K193,DOE,K,22,P.S. 193 Gil Hodges,,(718) 338-9011,2515 AVENUE L,11210,1,Midwood,18,998056,165816,,gilhodgesschool.wix.com/ps193,3,3,3,22K193
K194,DOE,K,22,P.S. 194 Raoul Wallenberg,,(718) 648-8804,3117 AVENUE W,11229,1,Sheepshd By -Gerritsen Bch -Manhattn Bch,36,1002569,156858,mzissle@schools.nyc.gov,schools.nyc.gov/schoolportals/22/K194,2,3,3,22K194
K195,DOE,K,22,P.S. 195 Manhattan Beach,,(718) 648-9102,131 IRWIN STREET,11235,1,Sheepshd By -Gerritsen Bch -Manhattn Bch,18,999917,150530,btoomey@schools.nyc.gov,schools.nyc.gov/schoolportals/22/K195,2,1,3,22K195
K196,DOE,K,14,P.S. 196 Ten Eyck,,(718) 497-0139,207 BUSHWICK AVENUE,11206,1,Bushwick South,46,1000961,197506,mrodriguez3@schools.nyc.gov,schools.nyc.gov/schoolportals/14/K196,3,3,3,14K196
K197,DOE,K,22,P.S. 197 - The Kings Highway Academy,,(718) 377-7890,1599 EAST 22 STREET,11210,1,Midwood,72,997690,162462,rnicole@schools.nyc.gov,schools.nyc.gov/schoolportals/22/K197,2,3,3,22K197
K198,DOE,K,22,P.S. 198 Brooklyn,,(718) 282-4920,4105 FARRAGUT ROAD,11210,1,East Flatbush - Farragut,36,1001725,171434,jmorgan2@schools.nyc.gov,schools.nyc.gov/schoolportals/22/K198,2,3,3,22K198
K199,DOE,K,21,P.S. 199 Frederick Wachtel,,(718) 339-1422,1100 ELM AVENUE,11230,1,Midwood,36,994497,163891,21k199@schools.nyc.gov,schools.nyc.gov/schoolportals/21/K199,2,3,3,21K199
K200,DOE,K,20,P.S. 200 Benson School,,(718) 236-5466,1940 BENSON AVENUE,11214,1,Bath Beach,36,983788,158980,jmuniz@schools.nyc.gov,schools.nyc.gov/schoolportals/20/K200,2,1,3,20K200
K202,DOE,K,19,P.S. 202 Ernest S. Jenkyns,,(718) 649-7880,982 HEGEMAN AVENUE,11208,1,East New York,54,1018510,181996,mspence6@schools.nyc.gov,schools.nyc.gov/schoolportals/19/K202,2,3,3,19K202
K203,DOE,K,22,P.S. 203 Floyd Bennett School,,(718) 241-8488,5101 AVENUE M,11234,1,Flatlands,126,1004878,165792,lesposi3@schools.nyc.gov,schools.nyc.gov/schoolportals/22/K203,2,3,3,22K203
K204,DOE,K,20,P.S. 204 Vince Lombardi,,(718) 236-2906,8101 15 AVENUE,11228,1,Bensonhurst West,36,982425,162902,jlogosso@schools.nyc.gov,schools.nyc.gov/schoolportals/20/K204,5,9,3,20K204
K205,DOE,K,20,P.S. 205 Clarion,,(718) 236-2380,6701 20 AVENUE,11204,1,Bensonhurst West,54,987836,163315,bgrater@schools.nyc.gov,schools.nyc.gov/schoolportals/20/K205,2,3,3,20K205
K206,DOE,K,22,P.S. 206 Joseph F Lamb,,(718) 743-5598,2200 GRAVESEND NECK ROAD,11229,1,Sheepshd By -Gerritsen Bch -Manhattn Bch,36,998543,156874,jhom42@schools.nyc.gov,schools.nyc.gov/schoolportals/22/K206,2,3,3,22K206
K207,DOE,K,22,P.S. 207 Elizabeth G. Leary,,(718) 645-8667,4011 FILLMORE AVENUE,11234,1,Grgetwn -Marine Pk -Bergn Bch -Mill Basn,36,1003637,162866,mbosco@schools.nyc.gov,schools.nyc.gov/schoolportals/22/K207,2,3,3,22K207
K208,DOE,K,18,P.S. 208 Elsa Ebeling,,(718) 629-1670,4801 AVENUE D,11203,1,East Flatbush - Farragut,36,1003436,173291,NRenville@schools.nyc.gov,schools.nyc.gov/schoolportals/18/K208,2,3,3,18K208
K209,DOE,K,21,P.S. 209 Margaret Mead,,(718) 743-1954,2609 EAST 7 STREET,11235,1,Brighton Beach,36,994897,153044,flocurc@schools.nyc.gov,schools.nyc.gov/schoolportals/21/K209,2,3,3,21K209
K212,DOE,K,21,P.S. 212 Lady Deborah Moody,,(718) 266-4841,87 BAY 49 STREET,11214,1,Gravesend,54,988250,153341,jmarsel@schools.nyc.gov,schools.nyc.gov/schoolportals/21/K212,2,3,3,21K212
K213,DOE,K,19,P.S. 213 New Lots,,(718) 257-4034,580 HEGEMAN AVENUE,11207,1,East New York,54,1014692,179849,smoise2@schools.nyc.gov,schools.nyc.gov/schoolportals/19/K213,3,3,3,19K213
