LOCCODE,PREK_TYPE,BOROUGH,NAME,NOTE,PHONE,ADDRESS,ZIP,DAY_LENGTH,SEATS,X,Y,EMAIL,WEBSITE,MEALS,INDOOR_OUTDOOR,EXTENDED_DAY,SEMS_CODE
K034,DOE,K,P.S. 034 OLIVER H. PERRY,,718-389-5842,131 NORMAN AVENUE,11222,1,18,998184,203901,casselt@schools.nyc.gov,www.PS34.org,2,3,2,14K034
K038,DOE,K,P.S. 038 THE PACIFIC,,718-330-9305,450 PACIFIC STREET,11217,1,108,988968,188868,yramire4@schools.nyc.gov,schools.nyc.gov/schoolportals/15/K038,3,3,1,15K038
K039,DOE,K,P.S. 039 HENRY BRISTOW,,718-330-9310,417 6 AVENUE,11215,1,36,988958,182905,adepaz2@schools.nyc.gov; kherskowitz@schools.nyc.gov,PS39.org,7,3,2,15K039
K040,DOE,K,P.S. 040 GEORGE W. CARVER,,718-574-2353,265 RALPH AVENUE,11233,1,36,1005913,187134,lhibber@schools.nyc.gov,schools.nyc.gov/schoolportals/16/K040,3,3,2,16K040
K044,DOE,K,P.S. 044 MARCUS GARVEY,,718-834-6939,432 MONROE STREET,11221,1,36,1000624,189327,rjames6@schools.nyc.gov,schools.nyc.gov/schoolportals/13/K044,2,3,2,13K044
K045,DOE,K,P.S. 045 HORACE E. GREENE,,718-642-5360,84 SCHAEFER STREET,11207,1,54,1009081,189447,tlott-davis@schools.nyc.gov,schools.nyc.gov/schoolportals/32/K045,2,3,2,32K045
K046,DOE,K,P.S. 046 EDWARD C. BLUM,,718-834-7694,100 CLERMONT AVENUE,11205,1,54,992161,192247,knicholson@schools.nyc.gov,schools.nyc.gov/schoolportals/13/K046,2,3,2,13K046
K048,DOE,K,P.S. 048 MAPLETON,,718-232-3873,6015 18 AVENUE,11204,3,18,987776,165729,jmagenta@schools.nyc.gov,schools.nyc.gov/schoolportals/20/K048,2,3,2,20K048
K052,DOE,K,P.S. 052 SHEEPSHEAD BAY,,718-648-0882,2675 EAST  29 STREET,11235,1,72,1000858,153397,ralvare4@schools.nyc.gov,schools.nyc.gov/schoolportals/22/K052,3,3,2,22K052
K054,DOE,K,P.S. 054 SAMUEL C. BARNES,,718-834-6752,195 SANFORD STREET,11205,1,46,997373,191615,lkhan@schools.nyc.gov,schools.nyc.gov/schoolportals/13/K054,2,3,2,13K054
K056,DOE,K,P.S. 056 LEWIS H. LATIMER,,718-857-3149,170 GATES AVENUE,11238,1,18,995211,188782,dclarkj@schools.nyc.gov,schools.nyc.gov/schoolportals/13/K056,3,3,2,13K056
K058,DOE,K,P.S. 058 THE CARROLL,,718-330-9322,330 SMITH STREET,11231,1,54,985512,187171,kdellostritto2@schools.nyc.gov,schools.nyc.gov/schoolportals/15/K058,2,3,2,15K058
K059,DOE,K,P.S. 059 WILLIAM FLOYD,,718-443-3600,211 THROOP AVENUE,11206,1,36,999930,193336,dbest2@schools.nyc.gov,schools.nyc.gov/schoolportals/14/K059,3,3,2,14K059
K066,DOE,K,P.S. 66,,718-922-3505,845 EAST  96 STREET,11236,1,18,1010047,175668,ljackso17@schools.nyc.gov,schools.nyc.gov/schoolportals/18/K066,3,3,2,18K066
K067,DOE,K,P.S. 067 CHARLES A. DORSEY,,718-834-6756,51 SAINT EDWARDS STREET,11205,1,18,990385,192610,gsolomon3@schools.nyc.gov,schools.nyc.gov/schoolportals/13/K067,3,3,2,13K067
K075,DOE,K,P.S. 075 MAYDA CORTIELLA,,718-574-0244,95 GROVE STREET,11221,1,54,1006134,191822,ywillia@schools.nyc.gov,schools.nyc.gov/schoolportals/32/K075,2,1,2,32K075
K081,DOE,K,P.S. 081 THADDEUS STEVENS,,718-574-2365,990 DEKALB AVENUE,11221,1,36,1002239,191774,cault@schools.nyc.gov,schools.nyc.gov/schoolportals/16/K081,3,3,1,16K081
K084,DOE,K,P.S. 084 JOSE DE DIEGO,,718-384-8063,250 BERRY STREET,11211,1,72,994436,199724,srodrig12@schools.nyc.gov,schools.nyc.gov/schoolportals/14/K084,2,3,2,14K084
K089,DOE,K,P.S. 089 CYPRESS HILLS,,718-964-1180,265 WARWICK STREET,11207,1,18,1015669,186210,vrodrig4@schools.nyc.gov,schools.nyc.gov/schoolportals/19/K089,2,7,2,19K089
K090,DOE,K,P.S. 90 EDNA COHEN SCHOOL,,718-787-3333,2840 WEST  12 STREET,11224,1,90,989819,149880,ghawkins@schools.nyc.gov,schools.nyc.gov/schoolportals/21/K090,3,3,2,21K090
K091,DOE,K,P.S. 091 THE ALBANY AVENUE SCHOOL,,718-756-0243,532 ALBANY AVENUE,11203,1,72,1000834,180404,talleyn2@schools.nyc.gov,schools.nyc.gov/schoolportals/17/K091,2,3,2,17K091
K092,DOE,K,P.S. 092 ADRIAN HEGEMAN,,718-462-2087,601 PARKSIDE AVENUE,11226,1,54,996990,178353,drahmaa@schools.nyc.gov,schools.nyc.gov/schoolportals/17/K092,2,3,2,17K092
K093,DOE,K,P.S. 093 WILLIAM H. PRESCOTT,,718-604-7363,31 NEW YORK AVENUE,11216,1,54,999087,186633,sphilip@schools.nyc.gov,schools.nyc.gov/schoolportals/13/K093,2,3,2,13K093
K095,DOE,K,P.S. 095 THE GRAVESEND,,718-449-5050,345 VAN SICKLEN STREET,11223,1,18,991224,156323,jndzibah@schools.nyc.gov,schools.nyc.gov/schoolportals/21/K095,2,3,2,21K095
K097,DOE,K,P.S. 97 THE HIGHLAWN,,718-372-1800,1855 STILLWELL AVENUE,11223,1,54,988205,158329,icabello@schools.nyc.gov,schools.nyc.gov/schoolportals/21/K097,3,3,2,21K097
K099,DOE,K,P.S. 099 ISAAC ASIMOV,,718-338-9201,1120 EAST  10 STREET,11230,1,36,993722,165704,gpirrag@schools.nyc.gov,schools.nyc.gov/schoolportals/21/K099,2,1,2,21K099
K100,DOE,K,P.S. 100 THE CONEY ISLAND SCHOOL,,718-266-9477,2951 WEST  3 STREET,11224,1,18,992317,149702,ctozzi@schools.nyc.gov,schools.nyc.gov/schoolportals/21/K100,2,3,2,21K100
K106,DOE,K,P.S. 106 EDWARD EVERETT HALE,,718-574-0261,1328 PUTNAM AVENUE,11221,1,36,1008466,192021,rflores@schools.nyc.gov,schools.nyc.gov/schoolportals/32/K106,2,3,2,32K106
K108,DOE,K,P.S. 108 SAL ABBRACCIAMENTO,,718-277-7010,200 LINWOOD STREET,11208,1,108,1016343,187503,chahn3@schools.nyc.gov,schools.nyc.gov/schoolportals/19/K108,2,3,2,19K108
K109,DOE,K,P.S. 109,,718-693-3426,1001 EAST  45 STREET,11203,1,54,1002852,171265,dchase2@schools.nyc.gov,schools.nyc.gov/schoolportals/22/K109,2,3,2,22K109
K110,DOE,K,P.S. 110 THE MONITOR,,718-383-7600,124 MONITOR STREET,11222,1,72,1000314,202930,tatson@schools.nyc.gov,www.PS110K.org,2,3,2,14K110
K114,DOE,K,P.S. 114 RYDER ELEMENTARY,,718-257-4428,1077 REMSEN AVENUE,11236,1,54,1009741,173411,dsmith6@schools.nyc.gov,schools.nyc.gov/schoolportals/18/K114,3,3,2,18K114
K115,DOE,K,P.S. 115 DANIEL MUCATEL SCHOOL,,718-241-1000,1500 EAST  92 STREET,11236,1,90,1012677,170592,lborgese@schools.nyc.gov,schools.nyc.gov/schoolportals/18/K115,2,3,2,18K115
K118,DOE,K,The Maurice Sendak Community School,,718-840-5660,211 8TH STREET,11215,1,66,987659,183768,wgarraway@schools.nyc.gov,schools.nyc.gov/schoolportals/15/K118,3,3,2,15K118
K119,DOE,K,P.S. 119 AMERSFORT,,718-377-7696,3829 AVENUE K,11210,1,90,1001254,167364,lfernan5@schools.nyc.gov,schools.nyc.gov/schoolportals/22/K119,3,3,2,22K119
K120,DOE,K,P.S. 120 CARLOS TAPIA,,718-455-1000,18 BEAVER STREET,11206,1,90,1001511,194534,lcaraba@schools.nyc.gov,schools.nyc.gov/schoolportals/14/K120,3,3,1,14K120
K121,DOE,K,P.S. 121 NELSON A. ROCKEFELLER,,718-377-8845,5301 20 AVENUE,11204,1,36,990132,166212,cmagrone@schools.nyc.gov,schools.nyc.gov/schoolportals/21/K121,2,3,2,21K121
K123,DOE,K,P.S. 123 SUYDAM,,718-821-4810,100 IRVING AVENUE,11237,1,36,1005736,195753,aparach@schools.nyc.gov,schools.nyc.gov/schoolportals/32/K123,2,1,2,32K123
K124,DOE,K,P.S. 124 SILAS B. DUTCHER,,718-788-0246,515 4 AVENUE,11215,1,36,986830,182462,aburrell2@schools.nyc.gov,schools.nyc.gov/schoolportals/15/K124,2,3,2,15K124
K130,DOE,K,P.S. 130 THE PARKSIDE,,718-686-1940,70 OCEAN PARKWAY,11218,1,36,990932,175699,mnunzia@schools.nyc.gov,ps130brooklyn.com,2,7,2,15K130
K131,DOE,K,P.S. 131 BROOKLYN,,718-431-1960,4305 FT HAMILTON PARKWAY,11219,1,36,986096,172731,rquiles2@schools.nyc.gov,schools.nyc.gov/schoolportals/15/K131,2,3,2,15K131
K132,DOE,K,P.S. 132 THE CONSELYEA SCHOOL,,718-599-7301,320 MANHATTAN AVENUE,11211,1,72,999251,199688,blubeck@schools.nyc.gov,ps132andyou.net,2,3,2,14K132
K133,DOE,K,P.S. 133 WILLIAM A. BUTLER,,718-398-5320,610 BALTIC STREET,11215,1,64,989651,187141,adickerson@schools.nyc.gov,www.ps133brooklyn.org,2,3,2,13K133
K134,DOE,K,P.S. K134,,718-436-7200,4001 18 AVENUE,11218,3,18,991662,169628,22k134@schools.nyc.gov,schools.nyc.gov/schoolportals/22/K134,3,3,2,22K134
K135,DOE,K,P.S. 135 SHELDON A. BROOKNER,,718-693-4363,684 LINDEN BOULEVARD,11203,1,36,1002848,177315,tmcrae2@schools.nyc.gov,schools.nyc.gov/schoolportals/18/K135,2,7,2,18K135
K137,DOE,K,P.S./I.S. 137 RACHEL JEAN MITCHELL,,718-453-2926,121 SARATOGA AVENUE,11233,1,18,1007348,187847,zcooper@schools.nyc.gov,schools.nyc.gov/schoolportals/23/K137,3,3,2,23K137
K138,DOE,K,P.S. 138 BROOKLYN,,718-467-0800,760 PROSPECT PLACE,11216,1,72,997749,184891,mchauve@schools.nyc.gov,schools.nyc.gov/schoolportals/17/K138,2,3,2,17K138
K139,DOE,K,P.S. 139 ALEXINE A. FENTY,,718-282-5254,330 RUGBY ROAD,11226,1,36,993758,172958,mmcdona10@schools.nyc.gov,schools.nyc.gov/schoolportals/22/K139,2,7,2,22K139
K145,DOE,K,P.S. 145 ANDREW JACKSON,,718-821-4823,100 NOLL STREET,11206,1,90,1003047,194870,lmedina3@schools.nyc.gov,schools.nyc.gov/schoolportals/32/K145,2,7,2,32K145
K146,DOE,K,P.S. 146,,718-923-4750,610 HENRY STREET,11231,1,36,983782,186982,amysumner@bns146.org,www.bns146.org,3,3,1,15K146
K147,DOE,K,P.S. 147 ISSAC REMSEN,,718-497-0326,325 BUSHWICK AVENUE,11206,1,54,1001203,196190,snoyola@schools.nyc.gov,www.ps147brooklyn.org/,3,3,2,14K147
K149,DOE,K,P.S. 149 DANNY KAYE,,718-385-8666,700 SUTTER AVENUE,11207,1,90,1013999,183181,yschoff@schools.nyc.gov,schools.nyc.gov/schoolportals/19/K149,3,3,1,19K149
K151,DOE,K,P.S. 151 LYNDON B. JOHNSON,,718-326-6360,763 KNICKERBOCKER AVENUE,11207,1,18,1009676,191905,jhunt@schools.nyc.gov,schools.nyc.gov/schoolportals/32/K151,2,3,2,32K151
K152,DOE,K,SCHOOL OF SCIENCE & TECHNOLOGY,,718-434-5222,725 EAST  23 STREET,11210,1,18,996920,169771,csheldr@schools.nyc.gov,schools.nyc.gov/schoolportals/22/K152,2,7,2,22K152
K153,DOE,K,P.S. 153 HOMECREST,,718-375-4484,1970 HOMECREST AVENUE,11229,1,64,995364,158309,csanta@schools.nyc.gov,schools.nyc.gov/schoolportals/21/K153,2,3,2,21K153
K155,DOE,K,P.S./ I.S. 155 NICHOLAS HERKIMER,,718-495-7751,1355 HERKIMER STREET,11233,1,36,1009570,186160,ncortes3@schools.nyc.gov,schools.nyc.gov/schoolportals/23/K155,3,7,2,23K155
K156,DOE,K,P.S. 156 WAVERLY,,718-498-2811,104 SUTTER AVENUE,11212,1,36,1006944,181831,23k156@schools.nyc.gov,www.156K.org,2,3,2,23K156
K157,DOE,K,P.S. 157 BENJAMIN FRANKLIN,,718-622-9285,850 KENT AVENUE,11205,1,36,995355,192637,ps157@outlook.com,schools.nyc.gov/schoolportals/14/K157,3,3,2,14K157
K158,DOE,K,P.S. 158 WARWICK,,718-277-6116,400 ASHFORD STREET,11207,1,72,1016131,184337,awilson3@schools.nyc.gov,schools.nyc.gov/schoolportals/19/K158,3,3,2,19K158
K164,DOE,K,P.S. 164 CAESAR RODNEY,,718-854-4100,4211 14 AVENUE,11219,1,46,988177,171416,esteinberg@schools.nyc.gov,schools.nyc.gov/schoolportals/20/K164,3,7,2,20K164
K165,DOE,K,P.S. 165 IDA POSNER,,718-495-7759,76 LOTT AVENUE,11212,1,36,1008949,178732,fellers@schools.nyc.gov,schools.nyc.gov/schoolportals/23/K165,2,3,2,23K165
K172,DOE,K,P.S. 172 BEACON SCHOOL OF EXCELLENCE,,718-965-4200,825 4 AVENUE,11232,1,36,984158,178921,jspatol@schools.nyc.gov,schools.nyc.gov/schoolportals/15/K172,2,3,2,15K172
K177,DOE,K,P.S. 177 THE MARLBORO,,718-375-9506,346 AVENUE P,11204,1,36,991336,160937,scaleca@schools.nyc.gov,schools.nyc.gov/schoolportals/21/K177,2,3,2,21K177
K178,DOE,K,P.S. 178 SAINT CLAIR MCKELWAY,,718-495-7768,2163 DEAN STREET,11233,1,36,1007728,185292,jhenry1@schools.nyc.gov,schools.nyc.gov/schoolportals/23/K178,3,3,2,23K178
K179,DOE,K,P.S. 179 KENSINGTON,,718-438-4010,202 AVENUE C,11218,3,54,990551,172548,bamato@schools.nyc.gov,www.ps179kensington.com,2,7,2,20K179
K180,DOE,K,P.S. 180 HOMEWOOD,,718-851-8070,5601 16 AVENUE,11204,1,38,987136,167594,20k180@schools.nyc.gov,www.seeallacademy.com,2,3,2,20K180
K181,DOE,K,P.S. 181 BROOKLYN,,718-462-5298,1023 NEW YORK AVENUE,11203,1,28,999237,175436,kgrady@schools.nyc.gov,schools.nyc.gov/schoolportals/17/K181,3,3,2,17K181
K184,DOE,K,P.S. 184 NEWPORT,,718-495-7775,273 NEWPORT STREET,11212,1,72,1010622,179822,llinder@schools.nyc.gov,schools.nyc.gov/schoolportals/23/K184,2,3,2,23K184
K186,DOE,K,P.S. 186 DR. IRVING A GLADSTONE,,718-236-7071,7601 19 AVENUE,11214,3,18,985747,161927,bcadotte@schools.nyc.gov,ps186.com,2,3,2,20K186
K188,DOE,K,P.S. 188 MICHAEL E. BERDY,,718-265-7580,3314 NEPTUNE AVENUE,11224,1,36,984106,149472,agreen31@schools.nyc.gov,schools.nyc.gov/schoolportals/21/K188,3,3,2,21K188
K190,DOE,K,P.S. 190 SHEFFIELD,,718-346-8780,590 SHEFFIELD AVENUE,11207,1,18,1013461,180625,ssantiago11@schools.nyc.gov,schools.nyc.gov/schoolportals/19/K190,2,3,2,19K190
K191,DOE,K,P.S. 191 PAUL ROBESON,,718-756-1206,1600 PARK PLACE,11233,1,18,1005274,184040,ecapolo@schools.nyc.gov,schools.nyc.gov/schoolportals/17/K191,2,3,2,17K191
K192,DOE,K,P.S. 192 BROOKLYN,,718-633-3061,4715 18 AVENUE,11204,1,46,989832,168445,lisaac@schools.nyc.gov,www.ps-is192.org/,3,3,2,20K192
K193,DOE,K,P.S. 193 GIL HODGES,,718-338-9011,2515 AVENUE L,11210,1,18,998056,165816,gilhodgesschool.wix.com/ps193,gilhodgesschool.wix.com/ps193,3,3,2,22K193
K194,DOE,K,P.S. 194 RAOUL WALLENBERG,,718-648-8804,3117 AVENUE W,11229,1,36,1002569,156858,mzissle@schools.nyc.gov,schools.nyc.gov/schoolportals/22/K194,2,3,2,22K194
K195,DOE,K,P.S. 195 MANHATTAN BEACH,,718-648-9102,131 IRWIN STREET,11235,1,18,999917,150530,btoomey@schools.nyc.gov,schools.nyc.gov/schoolportals/22/K195,2,1,2,22K195
K196,DOE,K,P.S. 196 TEN EYCK,,718-497-0139,207 BUSHWICK AVENUE,11206,1,46,1000961,197506,mrodriguez3@schools.nyc.gov,schools.nyc.gov/schoolportals/14/K196,3,3,2,14K196
K197,DOE,K,P.S. 197 BROOKLYN,,718-377-7890,1599 EAST  22 STREET,11210,1,72,997690,162462,rnicole@schools.nyc.gov,schools.nyc.gov/schoolportals/22/K197,2,3,2,22K197
K198,DOE,K,P.S. 198 BROOKLYN,,718-282-4920,4105 FARRAGUT ROAD,11210,1,36,1001725,171434,jmorgan2@schools.nyc.gov,schools.nyc.gov/schoolportals/22/K198,2,3,2,22K198
K199,DOE,K,P.S. 199 FREDERICK WACHTEL,,718-339-1422,1100 ELM AVENUE,11230,1,72,994497,163891,21k199@schools.nyc.gov,schools.nyc.gov/schoolportals/21/K199,2,3,2,21K199
K200,DOE,K,P.S. 200 BENSON SCHOOL,,718-236-5466,1940 BENSON AVENUE,11214,1,36,983788,158980,jmuniz@schools.nyc.gov,schools.nyc.gov/schoolportals/20/K200,2,1,2,20K200
K202,DOE,K,P.S. 202 ERNEST S. JENKYNS,,718-649-7880,982 HEGEMAN AVENUE,11208,1,54,1018510,181996,mspence6@schools.nyc.gov,schools.nyc.gov/schoolportals/19/K202,2,3,2,19K202
K203,DOE,K,P.S. 203 FLOYD BENNETT,,718-241-8488,5101 AVENUE M,11234,1,126,1004878,165792,lesposi3@schools.nyc.gov,schools.nyc.gov/schoolportals/22/K203,2,3,2,22K203
K204,DOE,K,P.S. 204 VINCE LOMBARDI,,718-236-2906,8101 15 AVENUE,11228,3,36,982425,162902,jlogosso@schools.nyc.gov,schools.nyc.gov/schoolportals/20/K204,2,3,2,20K204
K205,DOE,K,P.S. 205 CLARION,,718-236-2380,6701 20 AVENUE,11204,1,54,987836,163315,bgrater@schools.nyc.gov,schools.nyc.gov/schoolportals/20/K205,2,3,2,20K205
K206,DOE,K,P.S. 206 JOSEPH F LAMB,,718-743-5598,2200 GRAVESEND NECK ROAD,11229,1,36,998543,156874,jhom42@schools.nyc.gov,schools.nyc.gov/schoolportals/22/K206,2,3,2,22K206
K207,DOE,K,P.S. 207 ELIZABETH G. LEARY,,718-645-8667,4011 FILLMORE AVENUE,11234,1,18,1003637,162866,mbosco@schools.nyc.gov,schools.nyc.gov/schoolportals/22/K207,2,3,2,22K207
K208,DOE,K,P.S. 208 ELSA EBELING,,718-629-1670,4801 AVENUE D,11203,1,36,1003436,173291,kparris@schools.nyc.gov,schools.nyc.gov/schoolportals/18/K208,2,3,2,18K208
K209,DOE,K,P.S. 209 MARGARET MEAD,,718-743-1954,2609 EAST  7 STREET,11235,1,36,994897,153044,flocurc@schools.nyc.gov,schools.nyc.gov/schoolportals/21/K209,2,3,2,21K209
K212,DOE,K,P.S. 212 LADY DEBORAH MOODY,,718-266-4841,87 BAY  49 STREET,11214,1,54,988250,153341,jmarsel@schools.nyc.gov,schools.nyc.gov/schoolportals/21/K212,2,3,2,21K212
K213,DOE,K,P.S. 213 NEW LOTS,,718-257-4034,580 HEGEMAN AVENUE,11207,1,54,1014692,179849,smoise2@schools.nyc.gov,schools.nyc.gov/schoolportals/19/K213,3,3,2,19K213
K214,DOE,K,P.S. 214 MICHAEL FRIEDSAM,,718-647-1740,2944 PITKIN AVENUE,11208,1,108,1022233,185689,ptubrid3@schools.nyc.gov,schools.nyc.gov/schoolportals/19/K214,3,3,2,19K214
K215,DOE,K,P.S.  215  MORRIS H.  WEISS,,718-339-2464,415 AVENUE S,11223,1,54,992559,158723,above@schools.nyc.gov,schools.nyc.gov/schoolportals/21/K215,2,3,2,21K215
K216,DOE,K,P.S. 216 ARTURO TOSCANINI,,718-645-2862,350 AVENUE X,11223,1,84,992663,154348,ckaplin@schools.nyc.gov,schools.nyc.gov/schoolportals/21/K216,2,3,2,21K216
K217,DOE,K,P.S. 217 COLONEL DAVID MARCUS SCHOOL,,718-434-6960,1100 NEWKIRK AVENUE,11230,1,36,993573,170160,fconti@schools.nyc.gov,schools.nyc.gov/schoolportals/22/K217,2,1,2,22K217
K219,DOE,K,P.S. 219 KENNEDY-KING,,718-342-0493,1060 CLARKSON AVENUE,11212,1,72,1005716,179426,wsmith4@schools.nyc.gov,schools.nyc.gov/schoolportals/18/K219,2,2,2,18K219
K221,DOE,K,P.S. 221 TOUSSAINT L'OUVERTURE,,718-756-0122,791 EMPIRE BOULEVARD,11213,1,54,1001983,181168,cmoodie@schools.nyc.gov,schools.nyc.gov/schoolportals/17/K221,2,3,2,17K221
K222,DOE,K,P.S. 222 KATHERINE R. SNYDER,,718-998-4298,3301 QUENTIN ROAD,11234,1,36,1001227,162862,tolivie@schools.nyc.gov,schools.nyc.gov/schoolportals/22/K222,2,3,2,22K222
K224,DOE,K,P.S. 224 HALE A. WOODRUFF,,718-235-3600,757 WORTMAN AVENUE,11208,1,54,1021434,181544,gandrews@schools.nyc.gov,schools.nyc.gov/schoolportals/19/K224,3,3,2,19K224
K225,DOE,K,P.S. K225 - THE EILEEN E. ZAGLIN,,718-743-9793,1075 OCEAN VIEW AVENUE,11235,1,66,996443,150554,jmonteb@schools.nyc.gov,schools.nyc.gov/schoolportals/21/K225,3,2,2,21K225
K226,DOE,K,P.S. 226 ALFRED DE B.MASON,,718-234-4940,6006 23 AVENUE,11204,1,54,990693,163416,stannen2@schools.nyc.gov,schools.nyc.gov/schoolportals/21/K226,3,7,2,21K226
K229,DOE,K,P.S. 229 DYKER,,718-236-5447,1400 BENSON AVENUE,11228,1,30,980558,161737,rzappul@schools.nyc.gov,www.PS229.org,2,3,2,20K229
K230,DOE,K,P.S. 230 DORIS L. COHEN,,718-437-6135,1 ALBEMARLE ROAD,11218,1,72,989675,174378,mdellaragione@schools.nyc.gov,schools.nyc.gov/schoolportals/15/K230,3,2,2,15K230
K233,DOE,K,P.S. 233 LANGSTON HUGHES,,718-346-8103,9301 AVENUE B,11236,1,72,1008110,176607,tallen10@schools.nyc.gov,ps233-k12-et.schoolloop.com,2,3,2,18K233
K235,DOE,K,P.S. 235 LENOX,,718-773-4869,525 LENOX ROAD,11203,1,36,1000654,177895,llord@schools.nyc.gov,schools.nyc.gov/schoolportals/18/K235,2,3,2,18K235
K236,DOE,K,P.S. 236 MILL BASIN,,718-444-6969,6302 AVENUE U,11234,1,54,1008520,163671,alabella@schools.nyc.gov,schools.nyc.gov/schoolportals/22/K236,2,3,2,22K236
K238,DOE,K,P.S. 238 ANNE SULLIVAN,,718-339-4355,1633 EAST  8 STREET,11223,1,84,994024,161069,hmusoff@schools.nyc.gov,schools.nyc.gov/schoolportals/21/K238,3,3,2,21K238
