LOCCODE,X,Y,PREK_TYPE,NAME,NOTE,ADDRESS,BOROUGH,ZIP,PHONE,EMAIL,WEBSITE,DAY_LENGTH,SEATS,MEALS,INDOOR_OUTDOOR,SEMS_CODE,BUTTON_TYPE,START_TIME,EARLY_DROP,LATE_PICKUP,ENHANCED_LANG,FLEX_SCHED,SPED_FLG,INCOME_FLG,SPECIAL_PRIOR
"K059",999930,193336,"DOE","P.S. 59 William Floyd","","211 Throop Ave","K",11206,"718-443-3600","dbest2@schools.nyc.gov","http://schools.nyc.gov/schoolportals/14/k059",1,36,3,3,"14K059","apply","Contact program about start time","Contact program about extended hours","Contact program about extended hours",0,0,0,0,""
"K066",1010047,175668,"DOE","P.S. 66","","845 East 96th St","K",11236,"718-922-3505","ljackso17@schools.nyc.gov","http://schools.nyc.gov/schoolportals/18/k066",1,18,3,3,"18K066","apply","Contact program about start time","Contact program about extended hours","Contact program about extended hours",0,0,0,0,""
"K067",990385,192610,"DOE","P.S. 67 Charles A Dorsey","","51 Saint Edwards St","K",11205,"718-834-6756","kjackso5@schools.nyc.gov","http://schools.nyc.gov/schoolportals/13/k067",1,18,3,3,"13K067","apply","Contact program about start time","Contact program about extended hours","Contact program about extended hours",0,0,0,0,""
"K075",1006134,191822,"DOE","P.S. 75 Mayda Cortiella","","95 Grv St","K",11221,"718-574-0244","ywillia@schools.nyc.gov","http://schools.nyc.gov/schoolportals/32/k075",1,54,2,1,"32K075","apply","8:15 a.m","Yes","No",0,0,0,0,""
"K081",1002239,191774,"DOE","P.S. 81 Thaddeus Stevens","","990 Dekalb Ave","K",11221,"718-574-2365","caultbarker@schools.nyc.gov","http://schools.nyc.gov/schoolportals/16/k081",1,36,3,3,"16K081","apply","8:00 a.m","No","No",0,0,0,0,""
"K084",994436,199724,"DOE","P.S. 84 Jose De Diego","","250 Berry St","K",11211,"718-384-8063","lminieralvarez@schools.nyc.gov","http://schools.nyc.gov/schoolportals/14/k084",1,72,2,3,"14K084","apply","8:15 a.m","Yes","No",0,0,0,0,""
"K089",1015669,186210,"DOE","P.S. 89 Cypress Hills","","265 Warwick St","K",11207,"718-964-1180","ileon@schools.nyc.gov","http://schools.nyc.gov/schoolportals/19/k089",1,18,2,7,"19K089","apply","Contact program about start time","Contact program about extended hours","Contact program about extended hours",109,0,0,0,""
"K090",989819,149880,"DOE","P.S. 90 Edna Cohen School","","2840 West 12th St","K",11224,"718-787-3333","ghawkins@schools.nyc.gov","http://schools.nyc.gov/schoolportals/21/k090",1,90,3,3,"21K090","apply","8:30 a.m","No","No",0,0,0,0,""
"K091",1000834,180404,"DOE","P.S. 91 The Albany Avenue School","","532 Albany Ave","K",11203,"718-756-0243","talleyn2@schools.nyc.gov","http://schools.nyc.gov/schoolportals/17/k091",1,72,2,3,"17K091","apply","Contact program about start time","Contact program about extended hours","Contact program about extended hours",0,0,0,0,""
"K092",996990,178353,"DOE","P.S. 92 Adrian Hegeman","","601 Parkside Ave","K",11226,"718-462-2087","jsamers@schools.nyc.gov","http://schools.nyc.gov/schoolportals/17/k092",1,54,2,3,"17K092","apply","8:00 a.m","No","Yes",0,0,0,0,""
"K093",999087,186633,"DOE","P.S. 93 William H Prescott","","31 New York Ave","K",11216,"718-604-7363","sphilip@schools.nyc.gov","http://schools.nyc.gov/schoolportals/13/k093",1,36,2,3,"13K093","apply","Contact program about start time","Contact program about extended hours","Contact program about extended hours",0,0,0,0,""
"K095",991224,156323,"DOE","P.S. 95 The Gravesend","","345 Van Sicklen St","K",11223,"718-449-5050","jndzibah@schools.nyc.gov","http://schools.nyc.gov/schoolportals/21/k095",1,18,2,3,"21K095","apply","8:00 a.m","No","Yes",0,0,0,0,""
"K097",988205,158329,"DOE","P.S. 97 The Highlawn","","1855 Stillwell Ave","K",11223,"718-627-7550","icabello@schools.nyc.gov","http://schools.nyc.gov/schoolportals/21/k097",1,54,3,3,"21K097","apply","Contact program about start time","Contact program about extended hours","Contact program about extended hours",0,0,0,0,""
"K099",993722,165704,"DOE","P.S. 99 Isaac Asimov","","1120 East 10th St","K",11230,"718-338-9201","gpirrag@schools.nyc.gov","http://schools.nyc.gov/schoolportals/21/k099",1,36,2,1,"21K099","apply","8:00 a.m","No","No",0,0,0,0,""
"K100",992317,149702,"DOE","P.S. 100 The Coney Island School","","2951 West 3rd St","K",11224,"718-266-9477","kmolone@schools.nyc.gov","http://schools.nyc.gov/schoolportals/21/k100",1,54,2,3,"21K100","apply","Contact program about start time","Contact program about extended hours","Contact program about extended hours",0,0,0,0,""
"K106",1008466,192021,"DOE","P.S. 106 Edward Everett Hale","","1328 Putnam Ave","K",11221,"718-574-0261","rflores@schools.nyc.gov","http://schools.nyc.gov/schoolportals/32/k106",1,36,2,3,"32K106","apply","8:00 a.m","No","No",0,0,0,0,""
"K108",1016343,187503,"DOE","P.S. 108 Sal Abbracciamento","","200 Linwood St","K",11208,"718-277-7010","chahn3@schools.nyc.gov","http://schools.nyc.gov/schoolportals/19/k108",1,108,2,3,"19K108","apply","8:00 a.m","No","No",109,0,0,0,""
"K109",1002852,171265,"DOE","P.S. 109","","1001 East 45th St","K",11203,"718-693-3426","dchase2@schools.nyc.gov","http://schools.nyc.gov/schoolportals/22/k109",1,54,2,3,"22K109","apply","8:15 a.m","No","No",0,0,0,0,""
"K110",1000314,202930,"DOE","P.S. 110 The Monitor","","124 Monitor St","K",11222,"718-383-7600","tatson@schools.nyc.gov","http://ps110k.org",1,90,2,3,"14K110","apply","8:15 a.m","No","No",0,0,0,0,""
"K112",983812,164596,"DOE","P.S. 112 Lefferts Park","","7115 15th Ave","K",11228,"718-232-0685","lverdem@schools.nyc.gov","http://schools.nyc.gov/schoolportals/20/k112",1,18,5,9,"20K112","apply","Contact program about start time","Contact program about extended hours","Contact program about extended hours",116,0,0,0,""
"K114",1009741,173411,"DOE","P.S. 114 Ryder Elementary","","1077 Remsen Ave","K",11236,"718-257-4428","dsmith6@schools.nyc.gov","http://schools.nyc.gov/schoolportals/18/k114",1,54,3,3,"18K114","apply","Contact program about start time","Contact program about extended hours","Contact program about extended hours",0,0,0,0,""
"K115",1012677,170592,"DOE","P.S. 115 Daniel Mucatel School","","1500 East 92nd St","K",11236,"718-241-1000","lborgese@schools.nyc.gov","http://schools.nyc.gov/schoolportals/18/k115",1,108,2,3,"18K115","apply","8:15 a.m","No","Yes",0,0,0,0,""
"K118",987659,183768,"DOE","The Maurice Sendak Community School","","211 8th St","K",11215,"718-840-5660","mauricesendakcommunityschool@gmail.com","http://schools.nyc.gov/schoolportals/15/k118",1,72,3,3,"15K118","apply","8:30 a.m","No","No",0,0,0,0,""
"K119",1001254,167364,"DOE","P.S. 119 Amersfort","","3829 Ave K","K",11210,"718-377-7696","lfernan5@schools.nyc.gov","http://schools.nyc.gov/schoolportals/22/k119",1,36,3,3,"22K119","apply","Contact program about start time","Contact program about extended hours","Contact program about extended hours",0,0,0,0,""
"K120",1001511,194534,"DOE","P.S. 120 Carlos Tapia","","18 Beaver St","K",11206,"718-455-1000","lcaraba@schools.nyc.gov","http://schools.nyc.gov/schoolportals/14/k120",1,72,3,3,"14K120","apply","Contact program about start time","Contact program about extended hours","Contact program about extended hours",0,0,0,0,""
"K121",990132,166212,"DOE","P.S. 121 Nelson A Rockefeller","","5301 20th Ave","K",11204,"718-377-8845","amungio@schools.nyc.gov","http://schools.nyc.gov/schoolportals/21/k121",1,18,2,3,"21K121","apply","8:00 a.m","Yes","No",0,0,0,0,""
"K123",1005736,195753,"DOE","P.S. 123 Suydam","","100 Irving Ave","K",11237,"718-821-4810","aparach@schools.nyc.gov","http://schools.nyc.gov/schoolportals/32/k123",1,36,2,1,"32K123","apply","Contact program about start time","Contact program about extended hours","Contact program about extended hours",109,0,0,0,""
"K124",986830,182462,"DOE","P.S. 124 Silas B Dutcher","","515 4th Ave","K",11215,"718-788-0246","aburrell2@schools.nyc.gov","http://schools.nyc.gov/schoolportals/15/k124",1,36,2,3,"15K124","apply","Contact program about start time","Contact program about extended hours","Contact program about extended hours",0,0,0,0,""
"K129",986088,188932,"CHARTER","Success Academy Charter School - Cobble Hill","","284 Baltic St","K",11201,"917-207-6778","Yvonne.Chan@successacademies.org","http://successacademies.org",1,18,5,9,"84K129","info","Contact program about start time","Contact program about extended hours","Contact program about extended hours",0,0,0,0,""
"K130",990932,175699,"DOE","P.S. 130 The Parkside","","70 Ocean Pkwy","K",11218,"718-686-1940","mnunzia@schools.nyc.gov","http://ps130brooklyn.com",1,72,2,7,"15K130","apply","8:15 a.m","No","No",0,0,0,0,""
"K131",986096,172731,"DOE","P.S. 131 Brooklyn","","4305 Ft Hamilton Pkwy","K",11219,"718-431-1960","rquiles2@schools.nyc.gov","http://schools.nyc.gov/schoolportals/15/k131",1,36,2,3,"15K131","apply","8:15 a.m","No","No",0,0,0,0,""
"K132",999251,199688,"DOE","P.S. 132 The Conselyea School","","320 Manhattan Ave","K",11211,"718-599-7301","blubeck@schools.nyc.gov","http://ps132andyou.net",1,72,2,3,"14K132","apply","Contact program about start time","Contact program about extended hours","Contact program about extended hours",0,0,0,0,""
"K133",989651,187141,"DOE","P.S. 133 William A Butler","<p><strong>Note:</Strong>Students in District 15 are prioritized for two-thirds of seats and students in District 13 are prioritized for the remaining third. Within each district group, students who qualify for Free and Reduced Lunch and/or are English Language Learners will have priority for 35% of those seats.</p>","610 Baltic St","K",11217,"718-398-5320","adickerson@schools.nyc.gov","http://ps133brooklyn.org",1,72,2,3,"13K133","apply","Contact program about start time","Contact program about extended hours","Contact program about extended hours",109,0,0,0,""
"K135",1002848,177315,"DOE","P.S. 135 Sheldon A Brookner","","684 Linden Blvd","K",11203,"718-693-4363","tmcrae2@schools.nyc.gov","http://schools.nyc.gov/schoolportals/18/k135",1,36,2,7,"18K135","apply","Contact program about start time","Contact program about extended hours","Contact program about extended hours",0,0,0,0,""
"K137",1007348,187847,"DOE","P.S. / I.S. 137 Rachel Jean Mitchell","","121 Saratoga Ave","K",11233,"718-453-2926","srose8@schools.nyc.gov","http://schools.nyc.gov/schoolportals/23/k137",1,18,3,3,"23K137","apply","Contact program about start time","Contact program about extended hours","Contact program about extended hours",0,0,0,0,""
"K138",997749,184891,"DOE","P.S. 138 Brooklyn","","760 Prospect Pl","K",11216,"718-467-0800","mchauve@schools.nyc.gov","http://schools.nyc.gov/schoolportals/17/k138",1,36,2,3,"17K138","apply","Contact program about start time","Contact program about extended hours","Contact program about extended hours",0,0,0,0,""
"K139",993758,172958,"DOE","P.S. 139 Alexine A Fenty","","330 Rugby Rd","K",11226,"718-282-5254","mmcdona10@schools.nyc.gov","http://schools.nyc.gov/schoolportals/22/k139",1,54,2,7,"22K139","apply","Contact program about start time","Contact program about extended hours","Contact program about extended hours",109,0,0,0,""
"K145",1003047,194870,"DOE","P.S. 145 Andrew Jackson","","100 Noll St","K",11206,"718-821-4823","lmalloy@schools.nyc.gov","http://schools.nyc.gov/schoolportals/32/k145",1,72,2,7,"32K145","apply","8:00 a.m","No","No",109,0,0,0,""
"K146",983782,186982,"DOE","Brooklyn New School","<p><strong>Note:</Strong>Students who qualify for Free and Reduced Lunch have priority after siblings.</p>","610 Henry St","K",11231,"718-923-4750","aallanb@schools.nyc.gov","http://bns146.org",1,36,3,3,"15K146","apply","8:15 a.m","No","No",0,0,0,0,""
"K147",1001203,196190,"DOE","P.S. 147 Isaac Remsen","","325 Bushwick Ave","K",11206,"718-497-0326","snoyola@schools.nyc.gov","http://ps147brooklyn.org",1,72,3,3,"14K147","apply","8:00 a.m","No","No",0,0,0,0,""
"K149",1013999,183181,"DOE","P.S. 149 Danny Kaye","","700 Sutter Ave","K",11207,"718-385-8666","dyoung2@schools.nyc.gov","http://schools.nyc.gov/schoolportals/19/k149",1,90,3,3,"19K149","apply","Contact program about start time","Contact program about extended hours","Contact program about extended hours",0,0,0,0,""
"K151",1009676,191905,"DOE","P.S. 151 Lyndon B Johnson","","763 Knickerbocker Ave","K",11207,"718-326-6360","jhunt2@schools.nyc.gov","http://schools.nyc.gov/schoolportals/32/k151",1,36,2,3,"32K151","apply","8:30 a.m","No","No",109,0,0,0,""
"K152",996920,169771,"DOE","School Of Science & Technology","","725 East 23rd St","K",11210,"718-434-5222","csheldr@schools.nyc.gov","http://schools.nyc.gov/schoolportals/22/k152",1,18,2,7,"22K152","apply","8:00 a.m","No","No",0,0,0,0,""
"K153",995364,158309,"DOE","P.S. 153 Homecrest","","1970 Homecrest Ave","K",11229,"718-375-4484","csanta@schools.nyc.gov","http://schools.nyc.gov/schoolportals/21/k153",1,72,2,3,"21K153","apply","Contact program about start time","Contact program about extended hours","Contact program about extended hours",0,0,0,0,""
"K155",1009570,186160,"DOE","P.S. / I.S. 155 Nicholas Herkimer","","1355 Herkimer St","K",11233,"718-240-4340","ncortes3@schools.nyc.gov","http://schools.nyc.gov/schoolportals/23/k155",1,36,3,7,"23K155","apply","Contact program about start time","Contact program about extended hours","Contact program about extended hours",0,0,0,0,""
"K156",1006944,181831,"DOE","P.S. 156 Waverly","","104 Sutter Ave","K",11212,"718-498-2811","23k156@schools.nyc.gov","http://156k.org",1,36,2,3,"23K156","apply","Contact program about start time","Contact program about extended hours","Contact program about extended hours",0,0,0,0,""
"K157",995355,192637,"DOE","P.S. / I.S. 157 The Benjamin Franklin Health & Science Academy","","850 Kent Ave","K",11205,"718-622-9285","ps157@outlook.com","http://schools.nyc.gov/schoolportals/14/k157",1,36,3,3,"14K157","apply","Contact program about start time","Contact program about extended hours","Contact program about extended hours",0,0,0,0,""
"K158",1016131,184337,"DOE","P.S. 158 Warwick","","400 Ashford St","K",11207,"718-277-6116","awilson3@schools.nyc.gov","http://schools.nyc.gov/schoolportals/19/k158",1,72,3,3,"19K158","apply","Contact program about start time","Contact program about extended hours","Contact program about extended hours",0,0,0,0,""
"K161",998338,181915,"DOE","P.S. 161 The Crown","","330 Crown St","K",11225,"718-756-3100","mjohnso10@schools.nyc.gov","http://schools.nyc.gov/schoolportals/17/k161",1,36,2,3,"17K161","apply","Contact program about start time","Contact program about extended hours","Contact program about extended hours",0,0,0,0,""
"K164",988177,171416,"DOE","P.S. 164 Caesar Rodney","","4211 14th Ave","K",11219,"718-854-4100","esteinberg@schools.nyc.gov","http://schools.nyc.gov/schoolportals/20/k164",1,72,3,7,"20K164","apply","8:15 a.m","No","No",0,0,0,0,""
"K165",1008949,178732,"DOE","P.S. 165 Ida Posner","","76 Lott Ave","K",11212,"718-495-7759","abonds@schools.nyc.gov","http://schools.nyc.gov/schoolportals/23/k165",1,36,2,3,"23K165","apply","Contact program about start time","Contact program about extended hours","Contact program about extended hours",0,0,0,0,""
"K172",984158,178921,"DOE","P.S. 172 Beacon School Of Excellence","","825 4th Ave","K",11232,"718-965-4200","jspatol@schools.nyc.gov","http://schools.nyc.gov/schoolportals/15/k172",1,36,2,3,"15K172","apply","8:00 a.m","No","No",0,0,0,0,""
"K177",991336,160937,"DOE","P.S. 177 The Marlboro","","346 Ave P","K",11204,"718-375-9506","alettieribaker2@schools.nyc.gov","http://schools.nyc.gov/schoolportals/21/k177",1,36,2,3,"21K177","apply","8:00 a.m","Yes","No",0,0,0,0,""
"K178",1007728,185292,"DOE","P.S. 178 St. Clair Mckelway","","2163 Dean St","K",11233,"718-495-7768","jhenry1@schools.nyc.gov","http://schools.nyc.gov/schoolportals/23/k178",1,36,3,3,"23K178","apply","Contact program about start time","Contact program about extended hours","Contact program about extended hours",0,0,0,0,""
"K179",990551,172548,"DOE","P.S. 179 Kensington","","202 Ave C","K",11218,"718-438-4010","bamato@schools.nyc.gov","http://ps179kensington.com",1,36,5,9,"20K179","apply","8:15 a.m","Yes","No",0,0,0,0,""
"K180",987136,167594,"DOE","The Seeall Academy","","5601 16th Ave","K",11204,"718-851-8070","20k180@schools.nyc.gov","http://seeallacademy.com",1,36,2,3,"20K180","apply","8:15 a.m","No","No",0,0,0,0,""
"K181",999237,175436,"DOE","P.S. 181 Brooklyn","","1023 New York Ave","K",11203,"718-462-5298","vesannason@schools.nyc.gov","http://schools.nyc.gov/schoolportals/17/k181",1,36,3,3,"17K181","apply","8:15 a.m","No","No",0,0,0,0,""
"K182",995368,198597,"CHARTER","Success Academy Charter School - Williamsburg","","183 South 3rd St","K",11211,"917-207-6778","Yvonne.Chan@successacademies.org","http://successacademies.org",1,18,5,9,"84K182","info","Contact program about start time","Contact program about extended hours","Contact program about extended hours",0,0,0,0,""
"K184",1010622,179822,"DOE","P.S. 184 Newport","","273 Newport St","K",11212,"718-495-7775","llinder@schools.nyc.gov","http://schools.nyc.gov/schoolportals/23/k184",1,54,2,3,"23K184","apply","Contact program about start time","Contact program about extended hours","Contact program about extended hours",0,0,0,0,""
"K186",985747,161927,"DOE","P.S. 186 Dr. Irving A Gladstone","","7601 19th Ave","K",11214,"718-236-7071","bcadotte@schools.nyc.gov","http://ps186.com",1,18,5,9,"20K186","apply","8:00 a.m","No","No",0,0,0,0,""
"K188",984106,149472,"DOE","P.S. 188 Michael E Berdy","","3314 Neptune Ave","K",11224,"718-265-7580","ftudda@schools.nyc.gov","http://schools.nyc.gov/schoolportals/21/k188",1,36,3,3,"21K188","apply","Contact program about start time","Contact program about extended hours","Contact program about extended hours",0,0,0,0,""
"K190",1013461,180625,"DOE","P.S. 190 Sheffield","","590 Sheffield Ave","K",11207,"718-346-8780","shill3@schools.nyc.gov","http://schools.nyc.gov/schoolportals/19/k190",1,18,2,3,"19K190","apply","Contact program about start time","Contact program about extended hours","Contact program about extended hours",0,0,0,0,""
"K191",1005274,184040,"DOE","P.S. 191 Paul Robeson","","1600 Park Pl","K",11233,"718-756-1206","ecapolo@schools.nyc.gov","http://schools.nyc.gov/schoolportals/17/k191",1,18,2,3,"17K191","apply","8:15 a.m","No","No",0,0,0,0,""
